dim_hidden,seed,param_num_u,train_loss_euler,test_loss_euler,abs_rel_err_test_policy_median,abs_rel_err_test_policy_max,abs_rel_err_test_policy_10_percentile,abs_rel_err_test_policy_90_percentile
1,0,4,0.021714074537158012,0.019083693623542786,0.4479098618030548,0.6242103576660156,0.09717424213886261,0.6042980551719666
1,1,4,0.004968842025846243,0.010972322896122932,0.3586215674877167,0.4791752099990845,0.11878982931375504,0.4655592143535614
1,2,4,1e-08,1e-08,0.00029927471769042313,0.0004176956135779619,6.374762597260997e-05,0.00040438154246658087
1,3,4,0.009559789672493935,0.008420967496931553,0.2977619469165802,0.4147935211658478,0.06493707746267319,0.40157538652420044
1,4,4,0.015609066002070904,0.020565884187817574,0.46251797676086426,0.5058992505073547,0.11859017610549927,0.4987359046936035
1,5,4,4.898567567579448e-06,4.222608367854264e-06,0.006632021628320217,0.00926504097878933,0.0013941581128165126,0.00896743405610323
1,6,4,0.01783016324043274,0.01566334068775177,0.4057478606700897,0.5654848217964172,0.08796408772468567,0.5474432110786438
1,7,4,1e-08,1e-08,0.00029795049340464175,0.00041609874460846186,6.272382597671822e-05,0.0004027365066576749
1,8,4,1e-08,1e-08,0.00029224614263512194,0.0004081143706571311,6.0777139879064634e-05,0.0003943530609831214
1,9,4,1e-08,1e-08,0.000295302044833079,0.0004134752962272614,6.024078174959868e-05,0.00040003209142014384
1,10,4,1e-08,1e-08,0.0002590386720839888,0.00037138635525479913,4.0588438423583284e-05,0.0003588796826079488
1,11,4,1e-08,1e-08,0.0002920424158219248,0.0004113081085961312,5.733736543334089e-05,0.00039750736323185265
1,12,4,1e-08,1e-08,0.0003005989419762045,0.0004196346562821418,6.426066101994365e-05,0.0004061170620843768
1,13,4,1e-08,1e-08,0.00025537158944644034,0.00036842076224274933,4.1590683395043015e-05,0.0003553190326783806
1,14,4,1e-08,1e-08,0.00029856167384423316,0.0004172393528278917,6.263116665650159e-05,0.00040375065873377025
1,15,4,1e-08,1e-08,0.0002999877615366131,0.00041906433762051165,6.356230733217672e-05,0.000405440921895206
1,16,4,1e-08,1e-08,0.00029122750856913626,0.0004085706314072013,5.671660983352922e-05,0.00039498391561210155
1,17,4,1e-08,1e-08,0.0002482411509845406,0.0003597520408220589,4.393929339130409e-05,0.0003465749032329768
1,18,4,0.012028686702251434,0.009963911026716232,0.14832641184329987,0.24872373044490814,0.10839693993330002,0.226083442568779
1,19,4,1e-08,1e-08,0.00029886726406402886,0.0004174674686510116,6.287901487667114e-05,0.00040399868157692254
1,20,4,5.837350158799381e-07,5.069866801932221e-07,0.0023042524699121714,0.003214499680325389,0.0004934379830956459,0.003111640689894557
1,21,4,0.02176443301141262,0.019120758399367332,0.4482974410057068,0.6247859597206116,0.09718769788742065,0.6048523783683777
1,22,4,0.0023227424826472998,0.0016663718270137906,0.09271027892827988,0.2223096489906311,0.017245503142476082,0.20767198503017426
1,23,4,2.775751681838301e-06,6.169047082948964e-06,0.00850844755768776,0.011358537711203098,0.0028384982142597437,0.011036565527319908
1,24,4,1e-08,1e-08,0.0003016175760421902,0.00042020497494377196,6.592028512386605e-05,0.00040679314406588674
1,25,4,0.0067604356445372105,0.014929627999663353,0.4183177053928375,0.5589485764503479,0.13854405283927917,0.5430649518966675
1,26,4,1e-08,1e-08,0.00030080266878940165,0.00041952059837058187,6.474129622802138e-05,0.0004060944193042815
1,27,4,1.0830300425368478e-06,9.580476216797251e-07,0.003183333668857813,0.0044288053177297115,0.0007052893633954227,0.00428818492218852
1,28,4,1e-08,1e-08,0.00034124244120903313,0.0004344627377577126,0.00015598375466652215,0.0004239877453073859
1,29,4,1e-08,1e-08,0.00029346850351430476,0.0004110799927730113,5.892393892281689e-05,0.00039791371091268957
1,30,4,1e-08,1e-08,0.0002765591780189425,0.00039123318856582046,4.788532532984391e-05,0.00037893836270086467
1,31,4,1e-08,1e-08,0.0003010063956025988,0.00041974871419370174,6.48964851279743e-05,0.0004064324893988669
1,32,4,0.006473194342106581,0.014290728606283665,0.40926265716552734,0.5468617677688599,0.1355203092098236,0.5313205122947693
1,33,4,1e-08,1e-08,0.00027289209538139403,0.0003880394506268203,4.610625182976946e-05,0.0003750161558855325
1,34,4,0.0007178531959652901,0.0015860024141147733,0.13635803759098053,0.18217025697231293,0.04521835595369339,0.17699600756168365
1,35,4,0.0005229116068221629,0.0004564294358715415,0.06917045265436172,0.09647057205438614,0.014858863316476345,0.093387171626091
1,36,4,1e-08,1e-08,0.0003026362101081759,0.0004216877860017121,6.581256457138807e-05,0.0004081679799128324
1,37,4,1e-08,1e-08,0.0002669840177986771,0.00037982696085236967,4.414681825437583e-05,0.00036658832686953247
1,38,4,1e-08,1e-08,0.00025781631120480597,0.0003693332546390593,4.050807183375582e-05,0.0003569409891497344
1,39,4,9.707349090604112e-05,0.0002151756634702906,0.05023873224854469,0.06709136068820953,0.016711873933672905,0.06518792361021042
1,40,4,1e-08,1e-08,0.0002930610498879105,0.0004099393845535815,6.115686119301245e-05,0.0003961560141760856
1,41,4,0.0005391458398662508,0.0004707402258645743,0.07025367021560669,0.0979759693145752,0.015102317556738853,0.09484486281871796
1,42,4,1e-08,1e-08,0.0002586312184575945,0.0003720707318279892,4.0952312701847404e-05,0.000358924939064309
1,43,4,1e-08,1e-08,0.00030019148834981024,0.0004189502797089517,6.379508704412729e-05,0.0004055536410305649
1,44,4,1e-08,1e-08,0.00025150077999569476,0.00036157702561467886,4.183006603852846e-05,0.0003507202782202512
1,45,4,1e-08,1e-08,0.0002824672556016594,0.0003985331568401307,5.1129765779478475e-05,0.0003852478403132409
1,46,4,0.0005029512685723603,0.0004446324019227177,0.06851516664028168,0.09537260979413986,0.015084495767951012,0.09233918786048889
1,47,4,2.8028378551425703e-07,2.38636459926056e-07,0.0015705302357673645,0.0021983198821544647,0.00032158149406313896,0.0021273368038237095
1,48,4,6.073788972571492e-05,5.347196201910265e-05,0.02373906597495079,0.03306068852543831,0.005194783676415682,0.03200787678360939
1,49,4,0.0020003628451377153,0.0017495821230113506,0.13548415899276733,0.188913956284523,0.029189899563789368,0.1828792691230774
2,0,7,1e-08,2.1772439851019953e-08,0.0005047332379035652,0.0006747916922904551,0.00016670362674631178,0.0006555785075761378
2,1,7,1e-08,1e-08,0.0003085442876908928,0.0004275049432180822,7.161484973039478e-05,0.0004141402605455369
2,2,7,1e-08,1e-08,0.0003016175760421902,0.00041883622179739177,6.776523514417931e-05,0.0004057563783135265
2,3,7,1e-08,1e-08,0.00029509831801988184,0.00041324718040414155,6.041104279574938e-05,0.0003998067113570869
2,4,7,0.0024710719007998705,0.005492552649229765,0.25384363532066345,0.33895406126976013,0.0845232903957367,0.3293412923812866
2,5,7,1e-08,1e-08,0.0002930610498879105,0.0004090268921572715,6.201865471666679e-05,0.00039705747622065246
2,6,7,1e-08,1e-08,0.0002824672556016594,0.0003989894175902009,5.184545443626121e-05,0.0003858777927234769
2,7,7,1e-08,1.4487896216053286e-08,0.0004140748060308397,0.0005340389907360077,0.00017584972374606878,0.0005205586785450578
2,8,7,1e-08,1e-08,0.000277374085271731,0.00039214568096213043,4.827450538869016e-05,0.00037893836270086467
2,9,7,1e-08,1e-08,0.0002466113364789635,0.00031047718948684633,0.00011991774954367429,0.00030384361161850393
2,10,7,1e-08,1e-08,0.000274318183073774,0.00038940817466937006,4.7023670049384236e-05,0.0003762330743484199
2,11,7,1e-08,1e-08,0.0003323803248349577,0.0004543095419649035,9.008246706798673e-05,0.00044046316179446876
2,12,7,1e-08,1e-08,0.00012433587107807398,0.0003651129372883588,4.75242777611129e-05,0.0003119703324045986
2,13,7,0.00011594480747589841,0.0005800880026072264,0.08431611955165863,0.1460966169834137,0.017181001603603363,0.13911883533000946
2,14,7,1e-08,1e-08,0.0003010063956025988,0.0004176956135779619,6.839053094154224e-05,0.0004043606750201434
2,15,7,1e-08,1e-08,0.0002806337142828852,0.00039579567965120077,5.044874706072733e-05,0.0003828140033874661
2,16,7,1e-08,1e-08,0.00029733931296505034,0.00041541436803527176,6.224319076864049e-05,0.00040210524457506835
2,17,7,1e-08,1e-08,0.00027757781208492815,0.0003930581733584404,4.8844507546164095e-05,0.00037983895163051784
2,18,7,1e-08,1e-08,0.00031292441417463124,0.0004322955501265824,7.535447366535664e-05,0.00041882775258272886
2,19,7,1e-08,1e-08,0.00027085482724942267,0.0004126768617425114,5.3813098929822445e-05,0.00039674248546361923
2,20,7,1e-08,1e-08,0.000277374085271731,0.00039123318856582046,5.0509006541687995e-05,0.0003778559039346874
2,21,7,1e-08,1e-08,0.00030080266878940165,0.000419292482547462,6.498914444819093e-05,0.0004057789919897914
2,22,7,1e-08,1e-08,0.0002965244057122618,0.00041495810728520155,6.100166865508072e-05,0.0004016096645500511
2,23,7,1e-08,1e-08,0.00026739147142507136,0.0003795988450292498,4.545342017081566e-05,0.00036699295742437243
2,24,7,1e-08,1e-08,0.00029958030791021883,0.0004181518452242017,6.379508704412729e-05,0.00040476483991369605
2,25,7,1e-08,1e-08,0.00029224614263512194,0.0004099393845535815,5.81133172090631e-05,0.00039651626138947904
2,26,7,1e-08,1e-08,0.00018467837071511894,0.00028492725687101483,3.65708619938232e-05,0.00027319343644194305
2,27,7,1e-08,1e-08,0.00021014423691667616,0.0003357989771757275,4.487829210120253e-05,0.00032160422415472567
2,28,7,1e-08,1e-08,0.0002227752993348986,0.0003282708639744669,3.9619651943212375e-05,0.00031583511736243963
2,29,7,1e-08,1e-08,0.00030813683406449854,0.0004265924508217722,7.192522753030062e-05,0.00041323879850097
2,30,7,1e-08,1e-08,0.00019007713126484305,0.00031059124739840627,4.214637738186866e-05,0.00029703901964239776
2,31,7,1e-08,2.189400483132431e-08,0.0005062611890025437,0.000676616677083075,0.00016761971346568316,0.0006573814316652715
2,32,7,1e-08,1e-08,7.106753764674067e-05,0.00013842596672475338,4.451637505553663e-05,0.00012059245636919513
2,33,7,1e-08,2.1835964147953746e-08,0.0005055481451563537,0.000675818242598325,0.00016693641373421997,0.0006564799696207047
2,34,7,1e-08,1e-08,0.0002783927193377167,0.0003944269265048206,4.7982623073039576e-05,0.0003817324177362025
2,35,7,1e-08,1e-08,0.0003120076435152441,0.0004318393184803426,7.279610872501507e-05,0.0004183317651040852
2,36,7,1e-08,1e-08,0.0002720771881286055,0.0003862144367303699,4.6690256567671895e-05,0.0003734834026545286
2,37,7,1e-08,1e-08,0.0002700399199966341,0.00038393319118767977,4.5717304601566866e-05,0.00037154555320739746
2,38,7,1e-08,1e-08,0.00027411445626057684,0.0003903206961695105,4.699590499512851e-05,0.0003760529507417232
2,39,7,0.00029503399855457246,0.0005025090067647398,0.029262904077768326,0.0649801567196846,0.008660910651087761,0.058540817350149155
2,40,7,1e-08,1e-08,0.00017540880071464926,0.0002170602820115164,9.263958781957626e-05,0.00021236564498394728
2,41,7,1e-08,1e-08,0.00032840765197761357,0.00044986113789491355,8.665322093293071e-05,0.0004361811443232
2,42,7,1e-08,1e-08,0.00011050134344259277,0.00023549234902020544,5.973150473437272e-05,0.0002077373064821586
2,43,7,1e-08,1e-08,0.00027024364680983126,0.00038530194433405995,4.514730244409293e-05,0.00037253668415360153
2,44,7,1e-08,1e-08,0.00029346850351430476,0.00041039561619982123,6.034623584127985e-05,0.0003969669924117625
2,45,7,1e-08,1e-08,0.0002800225338432938,0.00039625191129744053,5.01036956848111e-05,0.00038335437420755625
2,46,7,1e-08,1e-08,0.0002726883685681969,0.0003880394506268203,4.6425902837654576e-05,0.0003747016016859561
2,47,7,4.9690366722643375e-05,2.3002430680207908e-05,0.00502579752355814,0.027259599417448044,0.002051117829978466,0.023442979902029037
2,48,7,1e-08,1e-08,0.00030080266878940165,0.0004194065404590219,6.491155363619328e-05,0.00040600437205284834
2,49,7,1e-08,1e-08,0.00029856167384423316,0.0004158705996815115,6.428625056287274e-05,0.0004030971904285252
3,0,10,1e-08,1.4039177820279747e-08,0.00040816672844812274,0.0005261687329038978,0.00017334935546386987,0.0005129188066348433
3,1,10,1e-08,1e-08,0.00028399520670063794,0.00039978785207495093,5.336495814844966e-05,0.0003868928470183164
3,2,10,1e-08,1e-08,8.464849815936759e-05,0.00016374545521102846,5.737809624406509e-05,0.00014433621254283935
3,3,10,1e-08,1e-08,0.0002917368256021291,0.00040948312380351126,5.743229485233314e-05,0.00039611075771972537
3,4,10,1e-08,1e-08,0.00029346850351430476,0.00041153625352308154,5.875141141586937e-05,0.000398364441934973
3,5,10,1e-08,1e-08,0.0002822635287884623,0.00039670817204751074,5.038848757976666e-05,0.000383804232114926
3,6,10,1e-08,1e-08,0.00012192801659693941,0.00022150870063342154,2.9978898965055123e-05,0.00021027206094004214
3,7,10,1e-08,1e-08,0.0002671877446118742,0.00037982696085236967,4.521706432569772e-05,0.0003667684504762292
3,8,10,1e-08,1e-08,0.0002017914375755936,0.00030363345285877585,4.123590042581782e-05,0.0002916754165198654
3,9,10,1e-08,1e-08,0.0003026362101081759,0.00042020497494377196,6.932167161721736e-05,0.0004067030968144536
3,10,10,1e-08,1e-08,0.0002812448947224766,0.00039648005622439086,5.196597339818254e-05,0.00038344485801644623
3,11,10,1e-08,1e-08,0.00025211196043528616,0.000363858271157369,4.3630840082187206e-05,0.0003517131262924522
3,12,10,1e-08,1e-08,0.0002485467412043363,0.0003120740584563464,0.00012233597226440907,0.00030485729803331196
3,13,10,1e-08,1e-08,0.0002898014208767563,0.00040674564661458135,5.687179873348214e-05,0.0003933610860258341
3,14,10,1e-08,1.4522062663502311e-08,0.00041448225965723395,0.0005349515122361481,0.00017491859034635127,0.0005217307480052114
3,15,10,1e-08,1.0503297787067822e-08,0.00012320645328145474,0.00024409951583947986,3.3049407647922635e-05,0.00019756628898903728
3,16,10,1e-08,1e-08,0.000302839936921373,0.00042088935151696205,6.810574268456548e-05,0.00040733395144343376
3,17,10,1e-08,1e-08,0.00028613433823920786,0.00040218315552920103,5.53801583009772e-05,0.00038921396480873227
3,18,10,1e-08,1.3381916907917457e-08,0.00039736920734867454,0.0005121390568092465,0.00017106442828662694,0.0004987431457266212
3,19,10,1e-08,1e-08,0.00028552315779961646,0.00040127066313289106,5.386292832554318e-05,0.0003884926263708621
3,20,10,1e-08,1e-08,0.0002830784360412508,0.0003976206644438207,5.299204713082872e-05,0.0003850676876027137
3,21,10,1e-08,1.1910454844610285e-08,0.00037516295560635626,0.00048157040146179497,0.00016349622455891222,0.00046960273175500333
3,22,10,1e-08,1e-08,0.00028144862153567374,0.0003978487802669406,5.032368790125474e-05,0.00038457170012407005
3,23,10,1e-08,1e-08,0.00030182130285538733,0.00041952059837058187,6.676929478999227e-05,0.00040580163476988673
3,24,10,1e-08,1e-08,0.00026270575472153723,0.0003729832242242992,4.382740371511318e-05,0.00036054689553566277
3,25,10,1e-08,1e-08,0.0002806337142828852,0.00039670817204751074,5.019862874178216e-05,0.0003832647344097495
3,26,10,1e-08,1e-08,0.00019832808175124228,0.0002986147010233253,4.0777671529212967e-05,0.00028716717497445643
3,27,10,1e-08,2.1480408562979392e-08,0.0005010661552660167,0.0006705714040435851,0.0001636924862395972,0.000651319045573473
