seed,u_nn,u_theory,Y_test
10,"[0.05367099866271019, 0.051455821841955185, 0.049462173134088516, 0.04766746237874031, 0.04604968801140785, 0.04459365829825401, 0.04328325763344765, 0.04210391268134117, 0.04104244336485863, 0.04008714482188225, 0.039227377623319626, 0.038453590124845505, 0.037757184356451035, 0.03713042661547661, 0.03656633570790291, 0.03605863079428673, 0.03560175374150276, 0.03519052639603615, 0.034820470958948135, 0.034487295895814896, 0.034187596291303635, 0.033917758613824844, 0.033674951642751694, 0.03345638886094093, 0.03325972333550453, 0.033082690089941025, 0.03292335942387581, 0.03277996554970741, 0.032650936394929886]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
11,"[0.05303390324115753, 0.050744734704494476, 0.04945230484008789, 0.04765772819519043, 0.04604257643222809, 0.04458898305892944, 0.0432807132601738, 0.04210326075553894, 0.04104357957839966, 0.04008987545967102, 0.039231523871421814, 0.038459017872810364, 0.03776375949382782, 0.03713804483413696, 0.03657485544681549, 0.03606800734996796, 0.035611867904663086, 0.035201296210289, 0.03483182191848755, 0.03449925780296326, 0.03420001268386841, 0.03393059968948364, 0.03368820250034332, 0.033470019698143005, 0.033273667097091675, 0.03309693932533264, 0.03293786942958832, 0.03279472887516022, 0.032665908336639404]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
12,"[0.05367930233478546, 0.05146457254886627, 0.049471333622932434, 0.0476774126291275, 0.04606287181377411, 0.044609785079956055, 0.0433020144701004, 0.04212501645088196, 0.04106573760509491, 0.04011236131191254, 0.0392543226480484, 0.03844462335109711, 0.03775009512901306, 0.03712506592273712, 0.036562517285346985, 0.03605623543262482, 0.035600557923316956, 0.035190463066101074, 0.03482137620449066, 0.03448919951915741, 0.034190237522125244, 0.03392116725444794, 0.03367902338504791, 0.0334610641002655, 0.03326493501663208, 0.03308838605880737, 0.03292950987815857, 0.0327865332365036, 0.03265784680843353]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
13,"[0.053735554218292236, 0.05152776092290878, 0.049540743231773376, 0.04775241017341614, 0.046142928302288055, 0.04458831250667572, 0.04327939450740814, 0.04210135340690613, 0.041041210293769836, 0.04008699953556061, 0.03922822326421738, 0.03845535218715668, 0.03775972127914429, 0.03713367134332657, 0.036570221185684204, 0.03606317937374115, 0.0356067419052124, 0.0351959764957428, 0.034826308488845825, 0.03449365496635437, 0.034194186329841614, 0.0339246541261673, 0.03368213772773743, 0.03346383571624756, 0.03326740115880966, 0.033090561628341675, 0.032931432127952576, 0.0327882319688797, 0.032659322023391724]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
14,"[0.0536697581410408, 0.05145489424467087, 0.049460314214229584, 0.04766354709863663, 0.04604651778936386, 0.04459112137556076, 0.043281279504299164, 0.04210241883993149, 0.04104147106409073, 0.040086597204208374, 0.039227209985256195, 0.03845381736755371, 0.03775765746831894, 0.03713120520114899, 0.036567337810993195, 0.03605987876653671, 0.03560318052768707, 0.03519217669963837, 0.03482223302125931, 0.034489281475543976, 0.034189626574516296, 0.03391995280981064, 0.033677227795124054, 0.033458784222602844, 0.03326220065355301, 0.033085212111473083, 0.03292601555585861, 0.0327826663851738, 0.03265366703271866]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
15,"[0.05367177724838257, 0.05145592987537384, 0.049461714923381805, 0.047666892409324646, 0.04605153203010559, 0.04459775239229202, 0.043289296329021454, 0.04211171716451645, 0.04105190187692642, 0.04009807109832764, 0.039239585399627686, 0.038466982543468475, 0.03776875138282776, 0.03714027255773544, 0.03657457232475281, 0.036065474152565, 0.03560730069875717, 0.03519491106271744, 0.034823790192604065, 0.03448978066444397, 0.034189172089099884, 0.03391861915588379, 0.03367511183023453, 0.03345595300197601, 0.03325873613357544, 0.03308121860027313, 0.0329214408993721, 0.032777659595012665, 0.03264826908707619]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
16,"[0.0536712110042572, 0.05145581066608429, 0.0494619756937027, 0.047667503356933594, 0.04605066776275635, 0.04459467530250549, 0.04328426718711853, 0.04210491478443146, 0.041043490171432495, 0.04008820652961731, 0.039228469133377075, 0.03845469653606415, 0.037758275866508484, 0.03713153302669525, 0.03656744956970215, 0.03605978190898895, 0.035602867603302, 0.035191670060157776, 0.034821584820747375, 0.034488484263420105, 0.03418870270252228, 0.03391890227794647, 0.03367610275745392, 0.03345751762390137, 0.03326089680194855, 0.03308384120464325, 0.03292451798915863, 0.03278113901615143, 0.032652124762535095]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
17,"[0.053685061633586884, 0.0514698401093483, 0.049476154148578644, 0.04768209159374237, 0.04607252776622772, 0.04462389647960663, 0.04332013428211212, 0.042146727442741394, 0.041090697050094604, 0.040140241384506226, 0.03928487002849579, 0.038514986634254456, 0.03765730559825897, 0.03607665002346039, 0.03454616665840149, 0.03316868841648102, 0.03203968703746796, 0.03198523819446564, 0.03193621337413788, 0.03189210593700409, 0.03185243904590607, 0.03181673586368561, 0.0317845493555069, 0.031755611300468445, 0.0317295640707016, 0.03170612454414368, 0.03168506920337677, 0.03166605532169342, 0.03164897859096527]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
18,"[0.053668417036533356, 0.05145169049501419, 0.04945703595876694, 0.047661855816841125, 0.04604340344667435, 0.04458675533533096, 0.04327579587697983, 0.04209590703248978, 0.04103676229715347, 0.040083952248096466, 0.03922640532255173, 0.03845464438199997, 0.037760041654109955, 0.03713490813970566, 0.03657226264476776, 0.03606588393449783, 0.03561016172170639, 0.03519999235868454, 0.034830860793590546, 0.03449862450361252, 0.03419962525367737, 0.03393052518367767, 0.03368832916021347, 0.03347034752368927, 0.03327418863773346, 0.03309761732816696, 0.03293871134519577, 0.03279569000005722, 0.03266698122024536]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
19,"[0.0536549873650074, 0.051436860114336014, 0.04943959787487984, 0.04764065518975258, 0.046021636575460434, 0.04456449672579765, 0.04325307533144951, 0.042072806507349014, 0.04101055487990379, 0.04005454108119011, 0.039194103330373764, 0.038419727236032486, 0.03776840493083, 0.0371418334543705, 0.036577921360731125, 0.036070387810468674, 0.035613615065813065, 0.03520252928137779, 0.034832555800676346, 0.034499574452638626, 0.03419985994696617, 0.033930156379938126, 0.03368740901350975, 0.03346894308924675, 0.03327231481671333, 0.0330953411757946, 0.032936085015535355, 0.03279273584485054, 0.0326637364923954]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
20,"[0.053675372153520584, 0.051459480077028275, 0.04946519806981087, 0.047670383006334305, 0.046037498861551285, 0.04458092525601387, 0.043270040303468704, 0.04209016636013985, 0.041028354316949844, 0.040072713047266006, 0.03921392932534218, 0.03844383731484413, 0.0377507247030735, 0.03712693229317665, 0.036565545946359634, 0.03606027737259865, 0.035605598241090775, 0.03519630804657936, 0.034827981144189835, 0.03449651971459389, 0.034198153764009476, 0.03392966464161873, 0.033687982708215714, 0.03347047045826912, 0.033274728804826736, 0.03309861198067665, 0.03294000402092934, 0.032797325402498245, 0.03266889229416847]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
21,"[0.053679727017879486, 0.051465027034282684, 0.04947181046009064, 0.047677911818027496, 0.04606340080499649, 0.04461035877466202, 0.04330259561538696, 0.04212561249732971, 0.04106637090444565, 0.04011298716068268, 0.03925497084856033, 0.03848274052143097, 0.037787772715091705, 0.03716228902339935, 0.036600932478904724, 0.03610048443078995, 0.035650067031383514, 0.035243578255176544, 0.03486917167901993, 0.034532204270362854, 0.03422894328832626, 0.03395596891641617, 0.033710308372974396, 0.03348925709724426, 0.03329025208950043, 0.03311119228601456, 0.03295000642538071, 0.03280496597290039, 0.032674387097358704]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
22,"[0.05394339561462402, 0.05175557732582092, 0.04958723485469818, 0.047653600573539734, 0.0460391640663147, 0.04458615183830261, 0.04327845573425293, 0.042101532220840454, 0.04104228317737579, 0.04008898138999939, 0.039230987429618835, 0.038458794355392456, 0.03776383399963379, 0.03713834285736084, 0.03657543659210205, 0.03606878221035004, 0.03561285138130188, 0.035202473402023315, 0.034833118319511414, 0.034500718116760254, 0.03420156240463257, 0.03393232822418213, 0.03369000554084778, 0.033471912145614624, 0.03327563405036926, 0.03309899568557739, 0.03294000029563904, 0.03279691934585571, 0.03266814351081848]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
23,"[0.05367211624979973, 0.05145398899912834, 0.049457646906375885, 0.047660961747169495, 0.04604393243789673, 0.04458862543106079, 0.04327883571386337, 0.04210003465414047, 0.0410391129553318, 0.040084272623062134, 0.039224911481142044, 0.03845147788524628, 0.03775541111826897, 0.037128955125808716, 0.03656512126326561, 0.03605768457055092, 0.035600997507572174, 0.035189975053071976, 0.03482004627585411, 0.03448710963129997, 0.03418746590614319, 0.033917803317308426, 0.03367510065436363, 0.03345666825771332, 0.033260077238082886, 0.03308313712477684, 0.03292391076683998, 0.032780591398477554, 0.03265161067247391]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
24,"[0.05528222769498825, 0.05324463173747063, 0.05203889682888985, 0.050538115203380585, 0.04866240918636322, 0.0466289147734642, 0.045538004487752914, 0.044345591217279434, 0.04190574958920479, 0.04006868973374367, 0.03921301290392876, 0.03844299539923668, 0.037749890238046646, 0.037126123905181885, 0.03656477481126785, 0.0360594317317009, 0.03560476750135422, 0.03519552946090698, 0.03482722118496895, 0.034495651721954346, 0.03419731184840202, 0.03392879664897919, 0.03368712216615677, 0.03346962481737137, 0.033273935317993164, 0.03309769928455353, 0.03293913975358009, 0.03279643878340721, 0.03266803175210953]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
