seed,u_nn,u_theory,Y_test
0,"[0.05366335064172745, 0.05144522339105606, 0.04944891482591629, 0.0476522371172905, 0.04603522643446922, 0.04457991570234299, 0.04327014088630676, 0.042091336101293564, 0.04103041812777519, 0.04007558524608612, 0.039216239005327225, 0.03844282776117325, 0.03774675726890564, 0.03712029382586479, 0.03655647858977318, 0.03604904189705849, 0.035592351108789444, 0.035181328654289246, 0.034811411052942276, 0.034478481858968735, 0.03417884558439255, 0.03390917181968689, 0.033666469156742096, 0.03344803303480148, 0.03325144201517105, 0.0330745093524456, 0.03291527181863785, 0.03277195617556572, 0.03264297544956207]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
1,"[0.05366711691021919, 0.05145180597901344, 0.049458011984825134, 0.04766359552741051, 0.04604863002896309, 0.0445951484143734, 0.04328702762722969, 0.042109712958335876, 0.04105013608932495, 0.040096502751111984, 0.03923824802041054, 0.03846580907702446, 0.03777061775326729, 0.037144940346479416, 0.036581844091415405, 0.03607504814863205, 0.03561893105506897, 0.03520842641592026, 0.034838974475860596, 0.03450646251440048, 0.03420720994472504, 0.03393787890672684, 0.033695485442876816, 0.03347731754183769, 0.03328097611665726, 0.03310426324605942, 0.03294523060321808, 0.03280210122466087, 0.03267327696084976]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
2,"[0.05365942418575287, 0.05144323408603668, 0.0494486540555954, 0.04765351116657257, 0.04603792726993561, 0.04458390176296234, 0.04327525198459625, 0.042097434401512146, 0.04103745520114899, 0.04008345305919647, 0.03922484815120697, 0.038452133536338806, 0.03775663673877716, 0.037130728363990784, 0.03656740486621857, 0.036060407757759094, 0.03560410439968109, 0.03519342839717865, 0.03482384979724884, 0.03449122607707977, 0.034191831946372986, 0.03392238914966583, 0.03367991745471954, 0.03346164524555206, 0.03326521813869476, 0.033088430762290955, 0.032929375767707825, 0.03278617560863495, 0.032657310366630554]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
3,"[0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387, 0.0525599904358387]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
4,"[0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296, 0.052559997886419296]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
5,"[0.053669869899749756, 0.05145150423049927, 0.04945501685142517, 0.04765814542770386, 0.04604095220565796, 0.04458552598953247, 0.04327559471130371, 0.04209667444229126, 0.04103565216064453, 0.040080726146698, 0.03922128677368164, 0.03844776749610901, 0.03775167465209961, 0.0371251106262207, 0.03656122088432312, 0.036053746938705444, 0.035597026348114014, 0.03518596291542053, 0.03481599688529968, 0.03448301553726196, 0.034183382987976074, 0.03391370177268982, 0.03367093205451965, 0.03345248103141785, 0.03325587511062622, 0.033078938722610474, 0.03291967511177063, 0.0327763557434082, 0.03264734148979187]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
6,"[0.05365955829620361, 0.05144336819648743, 0.04944878816604614, 0.04765366017818451, 0.04603804647922516, 0.044583991169929504, 0.04327535629272461, 0.042097583413124084, 0.04103758931159973, 0.04008357226848602, 0.03922496736049652, 0.03845223784446716, 0.03775675594806671, 0.03713086247444153, 0.03656752407550812, 0.036060526967048645, 0.035604238510131836, 0.03519357740879059, 0.03482396900653839, 0.034491315484046936, 0.03419193625450134, 0.03392250835895538, 0.0336800217628479, 0.03346177935600281, 0.033265382051467896, 0.03308859467506409, 0.03292948007583618, 0.03278626501560211, 0.03265738487243652]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
7,"[0.05367016792297363, 0.05145181715488434, 0.049455299973487854, 0.04765842854976654, 0.04604126513004303, 0.04458579421043396, 0.04327589273452759, 0.04209695756435394, 0.041035935282707214, 0.04008099436759949, 0.039221569895744324, 0.03844808042049408, 0.03775195777416229, 0.03712540864944458, 0.03656153380870819, 0.036054059863090515, 0.0355973094701767, 0.03518623113632202, 0.034816280007362366, 0.034483328461647034, 0.03418368101119995, 0.033913955092430115, 0.03367123007774353, 0.03345276415348053, 0.0332561731338501, 0.03307920694351196, 0.03291997313499451, 0.0327766090631485, 0.03264763951301575]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
8,"[0.053664639592170715, 0.05144922435283661, 0.04945538938045502, 0.04766093194484711, 0.04604588449001312, 0.044592395424842834, 0.043284252285957336, 0.04210685193538666, 0.041047289967536926, 0.040093615651130676, 0.039235323667526245, 0.03846283257007599, 0.03776763379573822, 0.03714194893836975, 0.036578819155693054, 0.036072030663490295, 0.03561587631702423, 0.03520534932613373, 0.03483588993549347, 0.03450338542461395, 0.03420412540435791, 0.033934786915779114, 0.033692359924316406, 0.033474236726760864, 0.03327783942222595, 0.03310112655162811, 0.03294207155704498, 0.03279896080493927, 0.03267012536525726]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
9,"[0.05366893112659454, 0.05145061016082764, 0.049454107880592346, 0.047657206654548645, 0.04604005813598633, 0.044584617018699646, 0.043274685740470886, 0.042095765471458435, 0.04103474318981171, 0.04007980227470398, 0.039220377802848816, 0.03844687342643738, 0.03775075078010559, 0.037124231457710266, 0.03656035661697388, 0.03605286777019501, 0.03559611737728119, 0.03518505394458771, 0.03481510281562805, 0.034482136368751526, 0.034182459115982056, 0.0339127779006958, 0.03367003798484802, 0.033451586961746216, 0.03325498104095459, 0.03307804465293884, 0.032918781042099, 0.03277544677257538, 0.032646454870700836]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
