dim_hidden,seed,param_num_u,train_loss_euler,test_loss_euler,abs_rel_err_test_policy_median,abs_rel_err_test_policy_max,abs_rel_err_test_policy_10_percentile,abs_rel_err_test_policy_90_percentile
1,0,4,0.020994039252400398,0.018620934337377548,0.4436030685901642,0.6173297166824341,0.09798620641231537,0.5977080464363098
1,1,4,1.893291390331342e-08,1.1454699411217462e-08,0.00023051691823638976,0.0002840281231328845,4.334999539423734e-05,0.0002832534955814481
1,2,4,1.8838522919395473e-06,9.51439233176643e-07,0.00280868005938828,0.006086128298193216,0.00019263756985310465,0.005667001008987427
1,3,4,1.0219638170383405e-05,5.5741193136782385e-06,0.0035741820465773344,0.0111849345266819,0.0013551044976338744,0.010175754316151142
1,4,4,0.001233959454111755,0.001030161278322339,0.10243803262710571,0.14282725751399994,0.02121829241514206,0.13826727867126465
1,5,4,0.00037082788185216486,0.00034020512248389423,0.06207648292183876,0.09722179174423218,0.0071768565103411674,0.09308353066444397
1,6,4,6.253712854231708e-07,3.387716560609988e-07,0.0009103597840294242,0.0026733886916190386,0.00033400763641111553,0.002416697097942233
1,7,4,5.5631633586017415e-05,3.0808743758825585e-05,0.00829473789781332,0.02713857963681221,0.003163524204865098,0.02476280927658081
1,8,4,8.611386874690652e-07,4.5984907615093107e-07,0.0010532044107094407,0.002990937791764736,0.000358830759068951,0.0027190556284040213
1,9,4,8.48880802095664e-07,4.6208424464566633e-07,0.00109377084299922,0.003183474764227867,0.000396226707380265,0.002859249711036682
1,10,4,1e-08,1e-08,0.00011948579049203545,0.0002630273229442537,7.372229447355494e-05,0.00024110579397529364
1,11,4,1e-08,1e-08,0.00025374177494086325,0.0004888703697361052,4.130858724238351e-05,0.0004591731121763587
1,12,4,1.5223394029817428e-06,8.248485983131104e-07,0.0015292754396796227,0.0035455080214887857,0.00047573077608831227,0.003322756849229336
1,13,4,2.250750412713387e-07,1.2088406720067724e-07,0.0005441624671220779,0.0015291172312572598,0.00018662045476958156,0.0013916878961026669
1,14,4,3.6343753890832886e-05,2.0153394871158525e-05,0.006984774488955736,0.0218519140034914,0.0024524310138076544,0.0199891384691
1,15,4,1.196209154841199e-06,6.468436595241656e-07,0.0012483348837122321,0.003693560604006052,0.0004314821562729776,0.003346411744132638
1,16,4,1.2964123641268088e-07,6.962203258353838e-08,0.00041121343383565545,0.0011431309394538403,0.0001478002086514607,0.0010420862818136811
1,17,4,1.8247469313337206e-07,9.812883661197702e-08,0.0004874583100900054,0.0013767301570624113,0.00017320852202828974,0.0012544792843982577
1,18,4,8.736757877159107e-07,4.728551630250877e-07,0.0010783986654132605,0.003197618294507265,0.00039158505387604237,0.0028817832935601473
1,19,4,1.590162173670251e-05,8.733905815461185e-06,0.0043639857321977615,0.014195263385772705,0.0016672099009156227,0.01294325478374958
1,20,4,1.228311589329678e-06,6.643762162639177e-07,0.001278233015909791,0.0037387292832136154,0.00042681253398768604,0.0033916665706783533
1,21,4,0.020052805542945862,0.017967885360121727,0.43700405955314636,0.6072407960891724,0.0983981117606163,0.5880125164985657
1,22,4,1.5850906720515923e-06,8.438039458269486e-07,0.0014135706005617976,0.0039481474086642265,0.000508350960444659,0.003609368344768882
1,23,4,3.501359969959594e-05,1.9357301425770856e-05,0.006535097025334835,0.02178359031677246,0.0025061422493308783,0.019803987815976143
1,24,4,6.735713213856798e-07,3.5974053957943397e-07,0.0009327646694146097,0.0026140764821320772,0.0003336382796987891,0.002383515704423189
1,25,4,9.433966141614292e-08,5.085976084728827e-08,0.00034805803443305194,0.0009962188778445125,0.00012748170411214232,0.0009056015405803919
1,26,4,1.6144061021350353e-07,8.794482653229352e-08,0.0004711936926469207,0.0013589365407824516,0.00017038502846844494,0.0012250046711415052
1,27,4,6.535236138915934e-07,3.5407148857302673e-07,0.0009319326491095126,0.0027600759640336037,0.0003390844794921577,0.0024889090564101934
1,28,4,2.380300429649651e-05,1.598660492163617e-05,0.010779084637761116,0.024764489382505417,0.0018054224783554673,0.02300441637635231
1,29,4,1.1815903917522519e-06,6.580001468137198e-07,0.0013734244275838137,0.00365295447409153,0.00043443101458251476,0.0033805554267019033
1,30,4,2.4020489945542067e-05,1.323802371189231e-05,0.005388676654547453,0.017522912472486496,0.002084717620164156,0.015995854511857033
1,31,4,2.7648934519675095e-07,1.510802718485138e-07,0.0006815681117586792,0.0014894235646352172,0.00020247716747689992,0.0014026709832251072
1,32,4,2.6941393116430845e-08,1.559703655118483e-08,0.00021901239233557135,0.0005764701054431498,7.15777205186896e-05,0.0005013762274757028
1,33,4,1.4457727104399964e-07,4.462939884319894e-08,0.0004277245025150478,0.001613979460671544,1.615199289517477e-05,0.001441369066014886
1,34,4,4.486922989599407e-06,2.4330540782102617e-06,0.0024097836576402187,0.0072616529650986195,0.0008679531165398657,0.006596177350729704
1,35,4,3.661459402337641e-07,1.970948346752266e-07,0.0006896030390635133,0.002019584411755204,0.0002329258422832936,0.001831711153499782
1,36,4,4.1298389419353043e-07,2.2067966654049087e-07,0.0007275871466845274,0.002049240516498685,0.00026543810963630676,0.0018687596311792731
1,37,4,5.566669756262854e-07,2.978935640385316e-07,0.0008514251676388085,0.0023886896669864655,0.0002881416876334697,0.002174189081415534
1,38,4,2.9181254035393067e-07,2.0195815864099131e-07,0.0007524503744207323,0.001233924413099885,0.0002130156644852832,0.0010741068981587887
1,39,4,3.738848681678064e-05,2.0616829715436324e-05,0.006883477792143822,0.02220539189875126,0.0026524842251092196,0.020154906436800957
