dim_hidden,seed,param_num,train_loss_bellman,test_loss_bellman,abs_rel_err_test_median,abs_rel_err_test_max,abs_rel_err_test_10_percentile,abs_rel_err_test_90_percentile
1,0,5,0.05336635559797287,0.02518564462661743,0.16131220757961273,0.9225558042526245,0.041762612760066986,0.5147237181663513
1,1,5,0.0031780237331986427,0.0023086166474968195,0.18760856986045837,0.3391595482826233,0.1295519769191742,0.30641523003578186
1,2,5,0.0029225011821836233,0.002087430562824011,0.17235694825649261,0.31403103470802307,0.1050986498594284,0.29830166697502136
1,3,5,0.05336636304855347,0.025185871869325638,0.16130997240543365,0.92256098985672,0.04176486283540726,0.514727771282196
1,4,5,0.0533665269613266,0.02509213611483574,0.1624055951833725,0.9200494289398193,0.040665220469236374,0.5127489566802979
1,5,5,0.0029224997851997614,0.002087427070364356,0.1723565012216568,0.31403079628944397,0.1050979495048523,0.2983013689517975
1,6,5,0.0031780232675373554,0.002308623632416129,0.18760761618614197,0.3391595482826233,0.12955135107040405,0.30641403794288635
1,7,5,0.0031780144199728966,0.002308619674295187,0.18760769069194794,0.33915939927101135,0.12955135107040405,0.30641403794288635
1,8,5,0.0028841905295848846,0.0020871928427368402,0.15401382744312286,0.3000698387622833,0.08459987491369247,0.2831777036190033
1,9,5,0.0028841933235526085,0.0020872391760349274,0.15397721529006958,0.3000403344631195,0.08455999195575714,0.28314661979675293
1,10,5,0.05336635187268257,0.025181636214256287,0.1613588035106659,0.922448992729187,0.041715845465660095,0.5146395564079285
1,11,5,0.009180743247270584,0.0014686326030641794,0.10783874988555908,0.22980903089046478,0.06023455038666725,0.19758175313472748
1,12,5,0.05336634814739227,0.025185812264680862,0.16131062805652618,0.9225594401359558,0.04176419973373413,0.5147265791893005
1,13,5,0.01586463302373886,0.004228543024510145,0.06172235682606697,0.1483907848596573,0.030185503885149956,0.12854410707950592
1,14,5,0.002952493727207184,0.0021605154033750296,0.1774483323097229,0.3166937828063965,0.11346407979726791,0.3016190230846405
1,15,5,0.006974264048039913,0.001884762430563569,0.11288412660360336,0.2610727846622467,0.060486797243356705,0.18958210945129395
1,16,5,0.006747674662619829,0.0018338703084737062,0.1206190288066864,0.26665565371513367,0.07193149626255035,0.20688468217849731
