dim_hidden,seed,n_params,train_loss,test_loss,abs_rel_err_median,abs_rel_err_max,abs_rel_err_10_percentile,abs_rel_err_90_percentile
1,0,7,0.0001875484304036945,0.0001552130706841126,0.09072142934790611,0.11430446396767402,0.008376774120785383,0.10684407607601919
1,1,7,8.417858043685555e-05,4.834300489164889e-05,0.07452731022062674,0.07999192447918096,0.02257653449863147,0.07841304488131934
1,2,7,8.417427306994796e-05,4.835631625610404e-05,0.07452963894818482,0.08000067072554223,0.022573792761294068,0.07842187631773495
1,3,7,8.634970436105505e-05,5.830185182276182e-05,0.07863158098344493,0.0827729531634533,0.019893554267786787,0.08120525555862401
1,4,7,8.40039283502847e-05,5.026070721214637e-05,0.07578792684438233,0.08052961038643869,0.022327650199349295,0.07885562795425292
1,5,7,0.26074978709220886,0.2264339178800583,0.38894074643989696,0.42766695138629157,0.14660574733704337,0.41758034669804467
1,6,7,0.019966788589954376,0.005370518658310175,0.9228803122128044,0.9271699884087726,0.8250349756731401,0.9258970605032446
1,7,7,0.02473653107881546,0.00856032781302929,0.9999999999999991,0.9999999999999991,0.9999999177851527,0.9999999999999991
1,8,7,8.372424053959548e-05,4.72108913527336e-05,0.07365813759269693,0.07881923332023286,0.02255430779303213,0.07721932775035482
1,9,7,8.417397475568578e-05,4.8354591854149476e-05,0.07452858726477149,0.07999858828593241,0.022573714470679067,0.07841977601448581
1,10,7,0.24890638887882233,0.20253998041152954,0.3276945274676316,0.370900873401953,0.09077337427305059,0.3599060892785389
1,11,7,8.370581053895876e-05,4.7261444706236944e-05,0.07372688511682546,0.07887594509227384,0.022559726286496485,0.07727655093342162
1,12,7,0.2458748072385788,0.20062857866287231,0.3277698782564434,0.37096837091802054,0.09036826554804403,0.35997430543998316
1,13,7,0.29877257347106934,0.23230618238449097,0.3258938788634723,0.3692702614722887,0.09742384972114052,0.35825526023640886
1,14,7,8.41728615341708e-05,4.8359444917878136e-05,0.0745303901506229,0.08000337789703502,0.02257301846711169,0.0784248382472914
1,15,7,0.0005549182533286512,0.0005526155000552535,0.15180183381234158,0.19015913296338582,0.013469970426223023,0.18197843724261473
1,16,7,0.32235389947891235,0.24568143486976624,0.3253787560631376,0.36881818818779655,0.0999172390084053,0.3578005161124068
1,17,7,0.00043146387906745076,0.00032937765354290605,0.10808625744238974,0.14424681563587494,0.0125155051236015,0.13394231337065357
1,18,7,8.417422213824466e-05,4.83563999296166e-05,0.07452903798623435,0.07999969892039098,0.022573615041598015,0.07842101351195845
1,19,7,0.3225462734699249,0.24578632414340973,0.32536998771212167,0.36880958425541244,0.09994200620981962,0.3577916537134677
1,20,7,8.372285083169118e-05,4.721189179690555e-05,0.07366087109266228,0.07882173224776465,0.02255486209058635,0.07722183139576345
1,21,7,0.02445170469582081,0.011514862067997456,0.9914841751542023,0.9920320218172335,0.9877573963486397,0.9918928527556511
1,22,7,0.004752172157168388,0.0026109954342246056,0.2847534887707544,0.32478866471509965,0.08338205158452429,0.3159692722304012
1,23,7,0.03956242650747299,0.018927879631519318,0.9781039638936336,0.9795128822990232,0.9692180265507836,0.9791550991173931
1,24,7,0.03858540207147598,0.018205389380455017,0.9888197320314673,0.989539070968228,0.9842719716028573,0.9893563706761546
1,25,7,0.3223530054092407,0.2456808239221573,0.3253784709135111,0.3688179213991955,0.09991753484993278,0.35780024466684446
1,26,7,0.03813137114048004,0.017850341275334358,0.9939289973712192,0.994319587650215,0.991456425299982,0.9942203747143381
1,27,7,0.32234692573547363,0.2456778883934021,0.32537975408683045,0.3688191219479003,0.09991573589788097,0.35780146617187536
1,28,7,0.01817295514047146,0.00518848467618227,0.9077415046778631,0.9127953018637743,0.7926469391773445,0.9113004271006283
1,29,7,0.037052884697914124,0.01720820739865303,0.9999984396447564,0.9999985294963198,0.9999502393852622,0.9999985019412558
1,30,7,8.417575008934364e-05,4.835132494918071e-05,0.07452836190404007,0.07999719999285919,0.022574410474246444,0.07841835730174541
1,31,7,0.2491910755634308,0.20270346105098724,0.32766237684723987,0.3708848660858895,0.09082586016278112,0.35989197911957205
1,32,7,8.417390199610963e-05,4.835586514673196e-05,0.074529563827941,0.07999983774969831,0.02257409104853723,0.07842116666649745
1,33,7,0.00012323098781052977,9.832414070842788e-05,0.08397585849519719,0.09918188560247336,0.012808465777583577,0.09323299401568384
1,34,7,0.025273341685533524,0.01081261970102787,0.9992720963345371,0.999318927065388,0.998957529469926,0.9993070311287522
1,35,7,0.2964179217815399,0.23084571957588196,0.32575657931829594,0.3691456711955948,0.09735061647201552,0.3581292935337659
1,36,7,0.00873544067144394,0.004990184213966131,0.32425220117610604,0.3633427523339902,0.1075974687673675,0.3542546597050198
1,37,7,8.498523675370961e-05,5.284725557430647e-05,0.07697106816651003,0.08102120496366554,0.021601746663196995,0.07928659017061125
1,38,7,8.417525532422587e-05,4.835225627175532e-05,0.07452858726477149,0.07999817179801044,0.02257411218700328,0.0784192475785161
1,39,7,0.0001169641618616879,7.112648017937317e-05,0.08804735403157503,0.10033141098728043,0.025312309222797275,0.09353065248930746
1,40,7,8.41747023514472e-05,4.835574145545252e-05,0.07452858726477149,0.07999858828593241,0.022573636180064065,0.07841985901720291
1,41,7,0.034792300313711166,0.0193280428647995,0.9128619097887672,0.9184707374597924,0.8764989747957057,0.9170472536010129
1,42,7,8.417353819822893e-05,4.8358146159444004e-05,0.07452963894818482,0.08000185077465448,0.02257301846711169,0.07842314128620174
1,43,7,0.00016014535503927618,0.00012339322711341083,0.08926139197264238,0.11025848143833447,0.012079705416889823,0.1023106166499285
1,44,7,8.371685544261709e-05,4.723220627056435e-05,0.07368670266733483,0.07884269547317026,0.022556256446439552,0.07724309864623975
1,45,7,0.2443355917930603,0.19967348873615265,0.32784729638004756,0.371032800365176,0.09012751203397833,0.3600386564889064
1,46,7,0.25004860758781433,0.20305785536766052,0.3270520140716426,0.37005688766250716,0.09169657322135127,0.35900809261322064
1,47,7,8.417567005380988e-05,4.8352329031331465e-05,0.07452836190404007,0.07999747765147383,0.022574133325469332,0.07841867705145321
1,48,7,0.00010410210234113038,0.0001061575094354339,0.09820432584742686,0.11377742308628466,0.01808418769351437,0.10987656226390383
1,49,7,0.26762259006500244,0.21393124759197235,0.3268699460351002,0.37020909055941054,0.09348925145819849,0.3592150079544903
2,0,15,0.1391037404537201,0.12544354796409607,0.32828949216339604,0.37149867995977287,0.07709226348022721,0.36052303221140314
2,1,15,8.417483331868425e-05,4.835278377868235e-05,0.07452888774574673,0.07999858828593241,0.022573991619456175,0.07841981751584436
