seed,n_params,train_loss,test_loss,k_path_nn,k_path_vfi
10,129,2.3941820472828113e-06,3.3984297260758467e-06,"[1.8046235031702813, 2.0337417125701904, 2.249222993850708, 2.4371438026428223, 2.595137596130371, 2.723158359527588, 2.843719482421875, 2.9300806522369385, 3.02394700050354, 3.101168155670166, 3.173945665359497, 3.237555980682373, 3.3058321475982666, 3.3428432941436768, 3.372030258178711, 3.394296646118164, 3.4252312183380127, 3.441269636154175, 3.454522132873535, 3.458838939666748, 3.4649810791015625, 3.4774813652038574, 3.4787702560424805, 3.4926681518554688, 3.5135936737060547, 3.5357582569122314, 3.562272787094116, 3.5767478942871094, 3.587163209915161]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
11,129,2.2118244942248566e-06,2.4449498141621007e-06,"[1.8046235031702813, 2.0337908267974854, 2.2488584518432617, 2.4373080730438232, 2.595771551132202, 2.7252659797668457, 2.846127986907959, 2.9306178092956543, 3.021444082260132, 3.094348430633545, 3.1615757942199707, 3.2180068492889404, 3.280679225921631, 3.315988779067993, 3.345031261444092, 3.368259906768799, 3.4002797603607178, 3.4187424182891846, 3.434670925140381, 3.441525459289551, 3.4499478340148926, 3.464815378189087, 3.467503547668457, 3.4833786487579346, 3.5064361095428467, 3.5307700634002686, 3.5595943927764893, 3.575507640838623, 3.5870161056518555]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
12,129,1.8700474129218492e-06,2.389616383879911e-06,"[1.8046235031702813, 2.0337564945220947, 2.248577117919922, 2.436683416366577, 2.5949866771698, 2.7244534492492676, 2.8468546867370605, 2.9343857765197754, 3.0270731449127197, 3.0993871688842773, 3.1652612686157227, 3.2200605869293213, 3.281707525253296, 3.314790964126587, 3.3416178226470947, 3.3626530170440674, 3.3932344913482666, 3.4097752571105957, 3.423916816711426, 3.4293336868286133, 3.4365696907043457, 3.4502453804016113, 3.452845811843872, 3.4680099487304688, 3.49049973487854, 3.514657497406006, 3.543602228164673, 3.56074857711792, 3.573479175567627]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
13,129,8.417556091444567e-05,4.835058643948287e-05,"[1.8046235031702813, 2.026599168777466, 2.22097110748291, 2.3768937587738037, 2.5038866996765137, 2.603355884552002, 2.697213888168335, 2.7589404582977295, 2.8295609951019287, 2.8850157260894775, 2.937286376953125, 2.981621742248535, 3.034071922302246, 3.0618746280670166, 3.0848658084869385, 3.1032419204711914, 3.1309711933135986, 3.1464040279388428, 3.1599366664886475, 3.1656441688537598, 3.173064708709717, 3.186501979827881, 3.1898975372314453, 3.204848527908325, 3.2267837524414062, 3.2506096363067627, 3.279214382171631, 3.297471761703491, 3.3121464252471924]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
14,129,1.840055119828321e-05,1.0401933650427964e-05,"[1.8046235031702813, 2.0293703079223633, 2.2345614433288574, 2.408104419708252, 2.552203416824341, 2.666240930557251, 2.77348256111145, 2.846155881881714, 2.9275190830230713, 2.992366075515747, 3.0533552169799805, 3.1055402755737305, 3.165879011154175, 3.1999106407165527, 3.228482723236084, 3.2518279552459717, 3.2847042083740234, 3.3043572902679443, 3.3217241764068604, 3.3305747509002686, 3.340963363647461, 3.357470989227295, 3.3632073402404785, 3.3809316158294678, 3.4059035778045654, 3.4327969551086426, 3.464677095413208, 3.4856128692626953, 3.502692461013794]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
15,129,2.065629587377771e-06,2.0891018266411265e-06,"[1.8046235031702813, 2.0340144634246826, 2.2492012977600098, 2.4377517700195312, 2.5967490673065186, 2.7274553775787354, 2.849219799041748, 2.933600664138794, 3.0235302448272705, 3.0949301719665527, 3.160623788833618, 3.21612286567688, 3.278156042098999, 3.3127379417419434, 3.340545177459717, 3.3621957302093506, 3.3927528858184814, 3.409219980239868, 3.4231302738189697, 3.428384304046631, 3.435356378555298, 3.4485321044921875, 3.450808525085449, 3.4653215408325195, 3.4868431091308594, 3.5098085403442383, 3.537259340286255, 3.553178310394287, 3.5651354789733887]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
16,129,2.3108710593078285e-05,1.366226661048131e-05,"[1.8046235031702813, 2.0334813594818115, 2.2424514293670654, 2.419748544692993, 2.573004722595215, 2.6939098834991455, 2.804691791534424, 2.8768677711486816, 2.956918478012085, 3.0183732509613037, 3.0750491619110107, 3.1219379901885986, 3.177053928375244, 3.2041542530059814, 3.225787401199341, 3.2422964572906494, 3.2691855430603027, 3.282353401184082, 3.2935688495635986, 3.2963273525238037, 3.3013036251068115, 3.313149929046631, 3.3139986991882324, 3.3278706073760986, 3.349402904510498, 3.372811794281006, 3.401250123977661, 3.4179720878601074, 3.430722713470459]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
17,129,0.0002070879563689232,5.603917088592425e-05,"[1.8046235031702813, 2.0036137104034424, 2.1658618450164795, 2.3113791942596436, 2.4436800479888916, 2.5615248680114746, 2.6612980365753174, 2.749958038330078, 2.824536085128784, 2.8903250694274902, 2.9473273754119873, 2.997512102127075, 3.0398004055023193, 3.079542636871338, 3.114814281463623, 3.146242618560791, 3.1724932193756104, 3.1969833374023438, 3.218714475631714, 3.2388503551483154, 3.2564094066619873, 3.2710816860198975, 3.285285711288452, 3.2962992191314697, 3.304929256439209, 3.3120310306549072, 3.31735897064209, 3.3230910301208496, 3.328418731689453]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
18,129,1.2838995644415263e-06,1.3012266890655155e-06,"[1.8046235031702813, 2.0338127613067627, 2.2506399154663086, 2.436295509338379, 2.5970280170440674, 2.726271390914917, 2.8452956676483154, 2.9280283451080322, 3.016878843307495, 3.08782958984375, 3.153480291366577, 3.2093069553375244, 3.271883487701416, 3.308091402053833, 3.3383498191833496, 3.363011121749878, 3.3963942527770996, 3.416564702987671, 3.433534860610962, 3.4405710697174072, 3.4491310119628906, 3.4640700817108154, 3.4668734073638916, 3.4827685356140137, 3.505889654159546, 3.530148983001709, 3.558863639831543, 3.574732542037964, 3.586214780807495]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
19,129,1.248348144144984e-05,9.880144716589712e-06,"[1.8046235031702813, 2.0343639850616455, 2.2475056648254395, 2.431580066680908, 2.593712568283081, 2.7336580753326416, 2.8632311820983887, 2.9500198364257812, 3.0401437282562256, 3.1089413166046143, 3.1705212593078613, 3.2206177711486816, 3.2769346237182617, 3.304988384246826, 3.327019214630127, 3.3435721397399902, 3.369619846343994, 3.3820438385009766, 3.3923943042755127, 3.3945319652557373, 3.398811101913452, 3.4096264839172363, 3.409813165664673, 3.4225003719329834, 3.442326784133911, 3.4636595249176025, 3.4895083904266357, 3.503854274749756, 3.5143425464630127]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
20,129,3.1156566819845466e-06,4.021109816676471e-06,"[1.8046235031702813, 2.033621072769165, 2.248011350631714, 2.43511700630188, 2.592261552810669, 2.719726085662842, 2.840043783187866, 2.9262568950653076, 3.020231246948242, 3.097661018371582, 3.170774459838867, 3.234797716140747, 3.3035237789154053, 3.3407797813415527, 3.37015700340271, 3.392566442489624, 3.4236948490142822, 3.4398324489593506, 3.453165054321289, 3.457505941390991, 3.463683605194092, 3.476259231567383, 3.477552890777588, 3.49153470993042, 3.512587308883667, 3.534885883331299, 3.561560869216919, 3.5761210918426514, 3.5865962505340576]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
21,129,8.417492790613323e-05,4.8350728320656344e-05,"[1.8046235031702813, 2.0265989303588867, 2.220970869064331, 2.3768932819366455, 2.5038862228393555, 2.603355646133423, 2.697213888168335, 2.7589402198791504, 2.8295607566833496, 2.8850154876708984, 2.937286376953125, 2.9816219806671143, 3.034072160720825, 3.061875343322754, 3.084866523742676, 3.103242874145508, 3.130971908569336, 3.14640474319458, 3.1599373817443848, 3.165644884109497, 3.173065423965454, 3.186502695083618, 3.1898980140686035, 3.2048490047454834, 3.2267844676971436, 3.2506103515625, 3.2792153358459473, 3.2974729537963867, 3.312147617340088]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
22,129,2.3666043489356525e-06,3.071690571232466e-06,"[1.8046235031702813, 2.0338079929351807, 2.24867844581604, 2.4368577003479004, 2.595010280609131, 2.7237343788146973, 2.844998836517334, 2.9327378273010254, 3.0276196002960205, 3.1049153804779053, 3.174267292022705, 3.2317373752593994, 3.294262409210205, 3.329164743423462, 3.3574671745300293, 3.3797545433044434, 3.4103779792785645, 3.427482843399048, 3.441805362701416, 3.446604013442993, 3.4533233642578125, 3.466799736022949, 3.468334197998047, 3.483276605606079, 3.5049540996551514, 3.527927875518799, 3.555112600326538, 3.5711936950683594, 3.5828793048858643]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
