seed,n_params,train_loss,test_loss,k_path_nn,k_path_vfi
0,2049,1.126210827351315e-05,6.1577225096698385e-06,"[1.8046235031702813, 2.0332436561584473, 2.2492589950561523, 2.4339778423309326, 2.591277837753296, 2.719022274017334, 2.8380630016326904, 2.91960072517395, 3.0079596042633057, 3.0776424407958984, 3.142019271850586, 3.196284294128418, 3.257918357849121, 3.2919299602508545, 3.31997013092041, 3.342402219772339, 3.3743062019348145, 3.392500162124634, 3.408292770385742, 3.421365737915039, 3.4314403533935547, 3.445558786392212, 3.4627692699432373, 3.476633310317993, 3.4978995323181152, 3.5211079120635986, 3.549271821975708, 3.5664169788360596, 3.5798022747039795]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
1,2049,6.631310611737717e-08,1.0478124323753946e-07,"[1.8046235031702813, 2.033470630645752, 2.2504544258117676, 2.436203718185425, 2.5948848724365234, 2.7238738536834717, 2.8447508811950684, 2.9296517372131348, 3.020515203475952, 3.0927681922912598, 3.1589629650115967, 3.214506149291992, 3.276810884475708, 3.3109302520751953, 3.338526964187622, 3.360145330429077, 3.3911190032958984, 3.407811403274536, 3.421966075897217, 3.4272191524505615, 3.43426513671875, 3.447932720184326, 3.450181722640991, 3.4654064178466797, 3.4879467487335205, 3.5119259357452393, 3.5404839515686035, 3.556990385055542, 3.5692944526672363]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
2,2049,6.167409338786456e-08,6.931231411044791e-08,"[1.8046235031702813, 2.0334134101867676, 2.250293493270874, 2.4361910820007324, 2.59458065032959, 2.724036931991577, 2.8448593616485596, 2.9295654296875, 3.0207018852233887, 3.093488931655884, 3.1602113246917725, 3.2163209915161133, 3.2790355682373047, 3.312925100326538, 3.3401458263397217, 3.3612759113311768, 3.391805410385132, 3.4079952239990234, 3.421689510345459, 3.4265713691711426, 3.4333109855651855, 3.446526288986206, 3.4485740661621094, 3.463291645050049, 3.485299825668335, 3.5088627338409424, 3.537130117416382, 3.5535643100738525, 3.565945625305176]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
3,2049,5.089365373578403e-08,1.6740226271849679e-07,"[1.8046235031702813, 2.0335261821746826, 2.250430107116699, 2.436461925506592, 2.5944130420684814, 2.724390745162964, 2.8454692363739014, 2.930490016937256, 3.021343469619751, 3.093425750732422, 3.1596155166625977, 3.2152342796325684, 3.2774860858917236, 3.3119056224823, 3.3399033546447754, 3.361952543258667, 3.3931479454040527, 3.4099555015563965, 3.4241397380828857, 3.4294447898864746, 3.4365153312683105, 3.449946403503418, 3.452200174331665, 3.46700382232666, 3.488982915878296, 3.512425661087036, 3.5404505729675293, 3.556637763977051, 3.568763256072998]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
4,2049,7.190266870793494e-08,2.6038750888801587e-07,"[1.8046235031702813, 2.033642530441284, 2.250817060470581, 2.4362599849700928, 2.5949668884277344, 2.7243053913116455, 2.845560073852539, 2.930816173553467, 3.0220746994018555, 3.094633102416992, 3.1612560749053955, 3.2173421382904053, 3.280052423477173, 3.315347671508789, 3.3444626331329346, 3.3676750659942627, 3.3997812271118164, 3.4171698093414307, 3.4316911697387695, 3.4371559619903564, 3.4443166255950928, 3.4577648639678955, 3.459913492202759, 3.47461199760437, 3.496375322341919, 3.5194449424743652, 3.546956777572632, 3.5625133514404297, 3.5740175247192383]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
5,2049,8.019589614605138e-08,1.523681447679337e-07,"[1.8046235031702813, 2.0332932472229004, 2.250009536743164, 2.436103582382202, 2.5941500663757324, 2.723818302154541, 2.8448963165283203, 2.9299960136413574, 3.0215015411376953, 3.094574451446533, 3.1613903045654297, 3.2172539234161377, 3.2797648906707764, 3.314063787460327, 3.3419220447540283, 3.36386775970459, 3.3946986198425293, 3.411405563354492, 3.425461769104004, 3.430708646774292, 3.4376821517944336, 3.451076030731201, 3.4532692432403564, 3.4680895805358887, 3.4901492595672607, 3.51371431350708, 3.5419161319732666, 3.5581607818603516, 3.5701889991760254]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
6,2049,4.1593452237975725e-08,9.410082668637187e-08,"[1.8046235031702813, 2.0334107875823975, 2.25002384185791, 2.4352152347564697, 2.5931766033172607, 2.722417116165161, 2.8432931900024414, 2.928368091583252, 3.0196754932403564, 3.092538595199585, 3.1595141887664795, 3.215991735458374, 3.278515338897705, 3.3130524158477783, 3.340986490249634, 3.362841844558716, 3.393658399581909, 3.410461187362671, 3.424666166305542, 3.4300787448883057, 3.437189817428589, 3.4505298137664795, 3.4528064727783203, 3.467453956604004, 3.489278554916382, 3.512653350830078, 3.5407462120056152, 3.5568275451660156, 3.568845272064209]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
7,2049,2.400954990378068e-08,4.496054017977258e-08,"[1.8046235031702813, 2.032543420791626, 2.2487151622772217, 2.433317184448242, 2.5907716751098633, 2.719728708267212, 2.840080738067627, 2.9251601696014404, 3.0160365104675293, 3.088196039199829, 3.1545538902282715, 3.2103710174560547, 3.2728607654571533, 3.307326316833496, 3.335282325744629, 3.3572287559509277, 3.3878824710845947, 3.4047744274139404, 3.419128179550171, 3.4249677658081055, 3.432415723800659, 3.4458813667297363, 3.4486582279205322, 3.463347911834717, 3.4850807189941406, 3.5085785388946533, 3.537022829055786, 3.553520679473877, 3.56584095954895]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
8,2049,6.426134405046469e-06,5.8872910813079216e-06,"[1.8046235031702813, 2.03322434425354, 2.2499611377716064, 2.43507981300354, 2.593491792678833, 2.7224268913269043, 2.843698740005493, 2.928387403488159, 3.0196421146392822, 3.091431140899658, 3.157073497772217, 3.21187162399292, 3.273855686187744, 3.306894540786743, 3.333566427230835, 3.354360342025757, 3.384906053543091, 3.401216983795166, 3.4152042865753174, 3.420527219772339, 3.427661418914795, 3.4413352012634277, 3.444974899291992, 3.4600841999053955, 3.4826579093933105, 3.5069987773895264, 3.5362489223480225, 3.5538265705108643, 3.5673859119415283]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
9,2049,7.61009246730282e-08,1.2247569713963458e-07,"[1.8046235031702813, 2.033891201019287, 2.2510833740234375, 2.4371132850646973, 2.5960335731506348, 2.725649356842041, 2.847036600112915, 2.9323012828826904, 3.023529052734375, 3.096029281616211, 3.162430763244629, 3.218055486679077, 3.280092239379883, 3.3139991760253906, 3.3413586616516113, 3.362673282623291, 3.3932929039001465, 3.4096977710723877, 3.423572540283203, 3.428621292114258, 3.4354875087738037, 3.448772668838501, 3.4509031772613525, 3.465597152709961, 3.4874584674835205, 3.5107791423797607, 3.538898229598999, 3.555105447769165, 3.5672683715820312]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
10,2049,6.88544403715241e-08,1.0119794069396448e-07,"[1.8046235031702813, 2.033371686935425, 2.250215768814087, 2.436161518096924, 2.5947272777557373, 2.7238993644714355, 2.8450872898101807, 2.9308700561523438, 3.0222136974334717, 3.094362735748291, 3.1605803966522217, 3.216311454772949, 3.278761386871338, 3.312436819076538, 3.339571714401245, 3.3607144355773926, 3.3911588191986084, 3.4074599742889404, 3.4212896823883057, 3.426398754119873, 3.4333157539367676, 3.44661283493042, 3.4488699436187744, 3.4636456966400146, 3.4856693744659424, 3.509287118911743, 3.5375990867614746, 3.554051160812378, 3.566403865814209]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
11,2049,1.1851865622247715e-07,1.368442781313206e-07,"[1.8046235031702813, 2.0335819721221924, 2.250789165496826, 2.4366183280944824, 2.5953164100646973, 2.725196123123169, 2.8467512130737305, 2.932042360305786, 3.0234415531158447, 3.096208095550537, 3.162795305252075, 3.21878981590271, 3.281456232070923, 3.316082715988159, 3.343796491622925, 3.3652360439300537, 3.3959925174713135, 3.4122257232666016, 3.4258952140808105, 3.430680274963379, 3.437326669692993, 3.450462579727173, 3.4523603916168213, 3.466986656188965, 3.4888925552368164, 3.5122992992401123, 3.540351629257202, 3.5564589500427246, 3.5684831142425537]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
12,2049,7.081155928290173e-08,1.3649281527250423e-07,"[1.8046235031702813, 2.0335543155670166, 2.2505030632019043, 2.436145782470703, 2.5946366786956787, 2.7243525981903076, 2.845752477645874, 2.9312753677368164, 3.022674798965454, 3.0953316688537598, 3.1618549823760986, 3.2175865173339844, 3.279681921005249, 3.3142805099487305, 3.3426504135131836, 3.3652734756469727, 3.3967223167419434, 3.414243221282959, 3.428886651992798, 3.434526205062866, 3.4418137073516846, 3.455303430557251, 3.4575798511505127, 3.472268581390381, 3.493971347808838, 3.5170490741729736, 3.544846296310425, 3.5605809688568115, 3.5722265243530273]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
13,2049,4.262605557414645e-07,9.59609337769507e-07,"[1.8046235031702813, 2.035726547241211, 2.254850387573242, 2.442146062850952, 2.6028060913085938, 2.7336373329162598, 2.8565783500671387, 2.943007469177246, 3.03585147857666, 3.1099257469177246, 3.1775259971618652, 3.2341763973236084, 3.297604560852051, 3.33305025100708, 3.3622403144836426, 3.385469675064087, 3.417905330657959, 3.4357845783233643, 3.4508535861968994, 3.4569101333618164, 3.4646103382110596, 3.478553533554077, 3.481248140335083, 3.4963979721069336, 3.5186798572540283, 3.542375326156616, 3.570629119873047, 3.5869040489196777, 3.5990617275238037]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
14,2049,1.1773331607400905e-05,7.740385626675561e-06,"[1.8046235031702813, 2.0325560569763184, 2.2420427799224854, 2.4203109741210938, 2.570499897003174, 2.690338373184204, 2.8015172481536865, 2.8760786056518555, 2.958714008331299, 3.0236082077026367, 3.083921194076538, 3.1345021724700928, 3.1924259662628174, 3.2231266498565674, 3.2480976581573486, 3.267698049545288, 3.2968697547912598, 3.312549114227295, 3.326026678085327, 3.331069231033325, 3.337965726852417, 3.351223945617676, 3.353677988052368, 3.368502378463745, 3.3905787467956543, 3.4143991470336914, 3.4430158138275146, 3.4603476524353027, 3.473789691925049]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
15,2049,1.9119177352422412e-07,7.436262450255526e-08,"[1.8046235031702813, 2.0335898399353027, 2.250213146209717, 2.435840129852295, 2.5941402912139893, 2.7227442264556885, 2.843581438064575, 2.928199052810669, 3.0193111896514893, 3.09157133102417, 3.157579183578491, 3.2126927375793457, 3.2742035388946533, 3.307828187942505, 3.33518385887146, 3.356750011444092, 3.3873934745788574, 3.404315710067749, 3.4187963008880615, 3.4246997833251953, 3.4322829246520996, 3.4460482597351074, 3.448975086212158, 3.464059591293335, 3.4861819744110107, 3.5098719596862793, 3.5380425453186035, 3.5547831058502197, 3.567502021789551]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
16,2049,4.042762782319187e-07,1.7327727164229145e-07,"[1.8046235031702813, 2.033939838409424, 2.2508044242858887, 2.4367876052856445, 2.595142126083374, 2.7252280712127686, 2.8461344242095947, 2.9304473400115967, 3.02095627784729, 3.092229127883911, 3.157769203186035, 3.2128493785858154, 3.274629592895508, 3.3084828853607178, 3.336082696914673, 3.3578643798828125, 3.3888261318206787, 3.4059581756591797, 3.4204845428466797, 3.426219940185547, 3.4336516857147217, 3.4473345279693604, 3.449967384338379, 3.4649550914764404, 3.486895799636841, 3.5102779865264893, 3.5381205081939697, 3.5545718669891357, 3.567077159881592]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
