dim_hidden,seed,n_params,train_loss,test_loss,abs_rel_err_median,abs_rel_err_max,abs_rel_err_10_percentile,abs_rel_err_90_percentile
1,0,7,0.006087060552090406,0.0014795318711549044,0.35952150303329,0.3963239595625381,0.11298770088552011,0.38671444353581
1,1,7,0.008131245151162148,0.0022762385196983814,0.364398060658878,0.4020581136622201,0.11705076693917131,0.3920459466300695
1,2,7,0.010837269015610218,0.003593659959733486,0.3694479179699923,0.4080760641362771,0.12242690596371722,0.3978490914964614
1,3,7,0.017187949270009995,0.006890336982905865,0.3822906294246705,0.4207577935904015,0.14021207223545903,0.41068785734851415
1,4,7,0.009151076897978783,0.0027683840598911047,0.3743614737596231,0.4120763591176856,0.13139925392687163,0.4021344121377646
1,5,7,0.046870872378349304,0.030547071248292923,0.34449026819495887,0.3833995858757518,0.0857753855073855,0.37273216678724785
1,6,7,0.008255465887486935,0.0023159850388765335,0.3644139577505573,0.4021536239813987,0.11685753474065784,0.39211237058383186
1,7,7,0.011466889642179012,0.003908208571374416,0.36929500648276314,0.40792032629040975,0.12259465065251648,0.39770771773682345
1,8,7,0.004804923664778471,0.0013814620906487107,0.3634716095222671,0.40103971487483286,0.11906370320476217,0.3912638198532424
1,9,7,0.00774024473503232,0.0021264678798615932,0.3636261606198488,0.40112088530670464,0.11633861358373199,0.39116307558799807
1,10,7,0.007999423891305923,0.0021947629284113646,0.36396406292729233,0.40152013444818735,0.11627265922093502,0.3915204183365569
1,11,7,0.007416724693030119,0.0019202398834750056,0.36315651918494635,0.4004155629426585,0.11563012814360554,0.39051978960232725
1,12,7,0.01247980073094368,0.004427038598805666,0.3672152676816331,0.40600978642108576,0.11960737593962124,0.3957512509472033
1,13,7,0.008901584893465042,0.002495215041562915,0.3668329533198568,0.40468791559999545,0.11976427268080567,0.39461317103038634
1,14,7,0.010877367109060287,0.0037092433776706457,0.3673054462510247,0.40577047704593705,0.12067713342267894,0.3955984455583621
1,15,7,0.011404786258935928,0.003811572678387165,0.3694559734469419,0.40815936887695736,0.12213932574506368,0.3979102946032623
1,16,7,0.031061667948961258,0.017074791714549065,0.370782845946614,0.40656617404859147,0.12219111968432504,0.3966806054962563
1,17,7,0.0076688434928655624,0.0019990364089608192,0.36349228287019086,0.4008212150105666,0.11593375637252243,0.3908969563717578
1,18,7,0.009497840888798237,0.002949708141386509,0.3669623399628969,0.4051777394715373,0.11946747922257857,0.3950094856188041
1,19,7,0.02100268378853798,0.01009602565318346,0.3545191231349937,0.3929729613389537,0.10212957705656885,0.3826397908354379
1,20,7,0.003509289352223277,0.0012359155807644129,0.36657510677006294,0.40435769800903637,0.12446601869643434,0.3945906388309254
1,21,7,0.011417713947594166,0.0038884931709617376,0.35365312371920815,0.3913006636903742,0.10438180232366713,0.38134918655067496
1,22,7,0.011207688599824905,0.0036977482959628105,0.3754717038305355,0.41362279924371614,0.13201176446787818,0.4035696773437872
1,23,7,0.3219284117221832,0.24525544047355652,0.32519091374665793,0.36864637632871544,0.1000250320213557,0.35762639476787156
1,24,7,0.019082166254520416,0.008257679641246796,0.37495986025090594,0.41448365936217885,0.12892357628386875,0.40423420204649957
1,25,7,0.011916987597942352,0.004105263855308294,0.36993445452026696,0.4087801192544682,0.12279313223676587,0.39852126343904265
1,26,7,0.04188334569334984,0.026436416432261467,0.34654341679341455,0.3849849771375368,0.08875035215269611,0.3744114353046711
1,27,7,0.01014781929552555,0.0032969682943075895,0.3650065699619028,0.40326293098459637,0.11816638784740391,0.3931422708318931
1,28,7,0.027983326464891434,0.015129191800951958,0.3518107006947615,0.39058146831907303,0.09775628678968677,0.38013513441865193
1,29,7,0.013499701395630836,0.004883314482867718,0.37091102070374127,0.4100097479167429,0.12382386732858763,0.3997296896600562
1,30,7,0.0038581425324082375,0.001359237008728087,0.3670421818583266,0.4049696443627123,0.12439719419969138,0.3951266517902215
1,31,7,0.0073749045841395855,0.0019084319937974215,0.36286117545926316,0.4001090228400433,0.11529914595671281,0.3902201610562533
1,32,7,0.00842245016247034,0.0023739070165902376,0.36514051899896743,0.4028788887933739,0.11751880780831289,0.3928223190620842
1,33,7,0.0060159205459058285,0.0015280551742762327,0.35937835792076966,0.39628680924984083,0.11290081630970825,0.3866430155855515
1,34,7,0.07888548076152802,0.04464857652783394,0.6363539209048235,0.6596921640117376,0.49023011288573987,0.6537426213446735
1,35,7,0.3144540786743164,0.24158629775047302,0.32754247142928206,0.37076247681515434,0.09684040987115913,0.3597649216243995
1,36,7,0.13401207327842712,0.10726518929004669,0.3364213179255029,0.37731847320039436,0.08039699226751391,0.3662998702345571
1,37,7,0.0038558386731892824,0.0012820379342883825,0.3656945647233241,0.4034493495195854,0.12291954417828044,0.39367050461279335
1,38,7,0.007227243855595589,0.0019052763236686587,0.3621939253331722,0.3994495214182288,0.11461998583224803,0.3895686472411762
1,39,7,0.005539853125810623,0.0012937402352690697,0.3567725180586833,0.393088814288963,0.11120388758507853,0.38376800067197664
1,40,7,0.010599791072309017,0.0035308038350194693,0.3684243733855464,0.4069705588706446,0.12099643778143784,0.3967414696316759
1,41,7,0.007951964624226093,0.0020923716947436333,0.3653669990898425,0.40278037710243336,0.1190141186266562,0.3928654958759495
1,42,7,0.011522267013788223,0.003910733852535486,0.3694489159936852,0.4081683062950928,0.12232940831213557,0.3979258523491303
1,43,7,0.2616908848285675,0.205649733543396,0.3285079880647282,0.3714980796854205,0.08916127212724245,0.3604877340087367
1,44,7,0.008397587575018406,0.0023498020600527525,0.3633124960306608,0.40106139144866876,0.11606665938892688,0.39105243194523365
1,45,7,0.004356693476438522,0.0011741319904103875,0.3584198274511736,0.39525113590053507,0.1144304004105814,0.3858297040269734
1,46,7,0.008683422580361366,0.0024700486101210117,0.3595771784978709,0.39709144367063065,0.11315724939008902,0.3872423613895536
1,47,7,0.002937343204393983,0.0011984470766037703,0.3679925855635664,0.4058114957933497,0.12720088603237226,0.3960682145172871
1,48,7,0.008085472509264946,0.002196236979216337,0.3640782653527194,0.40163338620933636,0.11644384321645135,0.39163575177282706
1,49,7,0.007458711043000221,0.0020301376935094595,0.3616443707154334,0.3989949136420266,0.1149881200475843,0.38914075830739364
2,0,15,0.006547287572175264,0.0015899750869721174,0.3532739460033238,0.38995931730140665,0.1178750888245377,0.3810935024641364
2,1,15,0.0010100157232955098,0.00037200620863586664,0.3249296454013456,0.35853375440562585,0.10763865902573287,0.3536337852265999
2,2,15,0.0009932669345289469,0.00046149789704941213,0.34649636710503634,0.38246816017230933,0.1194370946348959,0.3747505955637009
2,3,15,0.008014554157853127,0.0018152670236304402,0.36558642172746086,0.4028326009710904,0.12096081476870535,0.3930687998484093
2,4,15,0.0007452789577655494,0.00034243593108840287,0.3217093793814838,0.35540685860692983,0.1082944454870885,0.35048603625242125
2,5,15,0.0014649018412455916,0.0001067764314939268,0.022195617889385334,0.03324348211947276,0.011152338281863681,0.027306934724381327
2,6,15,0.0015389821492135525,0.000633748946711421,0.3586470917035217,0.3955395343782784,0.12470417170111806,0.3866759125400028
2,7,15,0.0019455775618553162,0.0006383074214681983,0.34787670515968366,0.3842421042778918,0.11336948193795754,0.37588288368409906
2,8,15,0.008862248621881008,0.002668342785909772,0.35696713267879315,0.3944449007481389,0.10960689761340624,0.384599712283122
2,9,15,0.0028163406532257795,0.0006717427168041468,0.3261167945840157,0.360204451322599,0.09411398190277685,0.35427591917451234
2,10,15,0.0010171347530558705,0.00046947927330620587,0.3473200218012815,0.3832052970770316,0.1195777977452731,0.37547441458158226
2,11,15,0.00018555180577095598,3.783622014452703e-05,0.009140691495612661,0.024106039230399064,0.0006330756355780192,0.022745197470994644
2,12,15,0.0010835810098797083,0.00047315304982475936,0.3507456668396548,0.386667546147257,0.12216138725746536,0.37881372434101007
2,13,15,0.0009863498853519559,0.0004699639102909714,0.34776150471056366,0.3835575247275779,0.11984714094806787,0.375859325785366
2,14,15,0.00021515860862564296,3.9209906390169635e-05,0.03371979302505023,0.03903644584337597,0.011494926194623447,0.0375896629746015
