dim_hidden,seed,n_params,train_loss,test_loss,abs_rel_err_median,abs_rel_err_max,abs_rel_err_10_percentile,abs_rel_err_90_percentile
1,0,5,0.3223467767238617,0.2456776350736618,0.325379255074984,0.3688186550678484,0.09991616008751845,0.3578009911421411
1,1,5,8.419422374572605e-05,4.829007957596332e-05,0.07453181743525528,0.07996908705812651,0.022599082195752334,0.07838925536045933
1,2,5,8.417379285674542e-05,4.8357582272728905e-05,0.07452986430891624,0.08000150370138617,0.022573494474050906,0.07842271047304811
1,3,5,0.3223467767238617,0.24567736685276031,0.32537882735054424,0.36881825488494685,0.09991660384980969,0.3578005839737975
1,4,5,0.32234665751457214,0.24567867815494537,0.3253813224097764,0.36882058928520606,0.09991401523644415,0.3578029591224688
1,5,5,8.417490607826039e-05,4.8351528675993904e-05,0.07452836190404007,0.07999719999285919,0.0225745881939425,0.0784183713321098
1,6,5,8.413365139858797e-05,4.849182369071059e-05,0.0745237044489239,0.08006321332849076,0.022521608151863833,0.0784866435588356
1,7,5,8.413991599809378e-05,4.846889351028949e-05,0.07452558245501913,0.08005356469163188,0.022530935695735287,0.07847660504461454
1,8,5,0.021596241742372513,0.005631647072732449,0.9370010776599994,0.9404973379403128,0.8558099779058043,0.9394400604418072
1,9,5,8.417472417932004e-05,4.835410800296813e-05,0.07452918822672196,0.07999921301781536,0.022574211616084337,0.07842037401254286
1,10,5,0.3223467767238617,0.24567778408527374,0.3253796827994238,0.36881905525075,0.09991571632522722,0.3578013983104848
1,11,5,0.012247544713318348,0.005006476771086454,0.768626028659501,0.7811735864861032,0.5569056931340932,0.7780821724080011
1,12,5,0.3223468065261841,0.24567748606204987,0.3253789699253575,0.36881838827924734,0.09991645592904594,0.35780071969657873
1,13,5,0.042303360998630524,0.016873663291335106,0.9971956784544603,0.9973629668926716,0.992397265083111,0.997314706003203
1,14,5,8.417386561632156e-05,4.835406070924364e-05,0.07452926334696577,0.07999956009108367,0.02257401275792223,0.07842077735470235
1,15,5,0.0031623104587197304,0.0018102774629369378,0.2580964185089814,0.2976702703890938,0.06667206520383528,0.2895188431050179
