dim_hidden,seed,param_num_v,train_loss_bellman,test_loss_bellman,abs_rel_err_test_value_function_median,abs_rel_err_test_value_function_max,abs_rel_err_test_value_function_10_percentile,abs_rel_err_test_value_function_90_percentile
1,0,6,0.43079137802124023,0.36425113677978516,0.09185274690389633,0.2267424613237381,0.01315651461482048,0.1971416026353836
1,1,6,0.000254403188591823,0.00023682074970565736,0.0011095625814050436,0.006031541619449854,3.0029808840481564e-05,0.004494622815400362
1,2,6,0.43079063296318054,0.3642508387565613,0.09185326099395752,0.226742684841156,0.013157027773559093,0.19714190065860748
1,3,6,0.3936235308647156,0.38340049982070923,0.16654789447784424,0.291758269071579,0.04592118039727211,0.26606857776641846
1,4,6,0.43079107999801636,0.3642510175704956,0.09185274690389633,0.2267424613237381,0.01315651461482048,0.19714166224002838
1,5,6,0.4307909905910492,0.36425089836120605,0.09185326099395752,0.22674283385276794,0.013157027773559093,0.19714190065860748
1,6,6,0.6111329197883606,0.591336190700531,0.4045730233192444,0.40457361936569214,0.057400889694690704,0.4045734703540802
1,7,6,0.5229035019874573,0.5505032539367676,0.38213804364204407,0.4012717604637146,0.05507360398769379,0.3974059224128723
1,8,6,0.4307911694049835,0.36425086855888367,0.09185332804918289,0.22674275934696198,0.013157092966139317,0.19714196026325226
1,9,6,0.3936232328414917,0.3833993673324585,0.16654282808303833,0.29175621271133423,0.04592113569378853,0.26606664061546326
1,10,6,0.39362335205078125,0.3833996653556824,0.1665423959493637,0.2917560636997223,0.04592103511095047,0.2660664916038513
1,11,6,0.39362335205078125,0.3833998143672943,0.16654503345489502,0.29175710678100586,0.045921146869659424,0.26606738567352295
1,12,6,0.3936225175857544,0.3834078311920166,0.1665954738855362,0.291779100894928,0.04592040181159973,0.26608842611312866
1,13,6,0.3936232328414917,0.3833996653556824,0.16654495894908905,0.29175710678100586,0.045921146869659424,0.26606738567352295
1,14,6,0.4307907819747925,0.3642507791519165,0.09185332804918289,0.226742684841156,0.013157092966139317,0.19714201986789703
1,15,6,0.4307911694049835,0.3642508387565613,0.09185340255498886,0.226742684841156,0.013157159090042114,0.19714203476905823
1,16,6,0.39362338185310364,0.38339942693710327,0.16654282808303833,0.29175621271133423,0.04592103511095047,0.26606661081314087
1,17,6,0.39362335205078125,0.38339996337890625,0.1665460616350174,0.2917575240135193,0.04592133313417435,0.2660677134990692
1,18,6,0.39362335205078125,0.38339951634407043,0.16654282808303833,0.29175636172294617,0.045921046286821365,0.2660667598247528
1,19,6,0.611138105392456,0.5913402438163757,0.40457361936569214,0.4045746624469757,0.0574016235768795,0.40457436442375183
1,20,6,0.39362266659736633,0.38339903950691223,0.16654473543167114,0.2917569577693939,0.045921146869659424,0.26606738567352295
1,21,6,0.43079128861427307,0.3642512559890747,0.09185267239809036,0.22674253582954407,0.013156447559595108,0.1971416026353836
1,22,6,0.4307912588119507,0.36425063014030457,0.09185296297073364,0.22674253582954407,0.013156682252883911,0.19714173674583435
1,23,6,0.3936231732368469,0.3833993673324585,0.1665429025888443,0.29175636172294617,0.045921046286821365,0.26606664061546326
1,24,6,0.3936232328414917,0.3833995759487152,0.1665429025888443,0.29175636172294617,0.04592113569378853,0.26606664061546326
1,25,6,0.3936230540275574,0.3833993673324585,0.16654275357723236,0.29175621271133423,0.045921046286821365,0.26606664061546326
1,26,6,0.4307909905910492,0.3642507791519165,0.09185332804918289,0.226742684841156,0.013157100416719913,0.19714194536209106
1,27,6,0.39362284541130066,0.38339918851852417,0.16654473543167114,0.2917569577693939,0.045921146869659424,0.26606738567352295
1,28,6,0.4307911694049835,0.36425071954727173,0.09185332804918289,0.22674275934696198,0.013157100416719913,0.1971421092748642
1,29,6,0.3936230540275574,0.38339942693710327,0.1665429025888443,0.29175636172294617,0.045921046286821365,0.2660667896270752
1,30,6,0.43079107999801636,0.3642507791519165,0.09185332804918289,0.22674275934696198,0.013157092966139317,0.19714201986789703
1,31,6,0.3936229646205902,0.3833991289138794,0.1665429025888443,0.29175621271133423,0.04592112451791763,0.26606664061546326
1,32,6,0.39362308382987976,0.38339927792549133,0.16654327511787415,0.2917565107345581,0.045921046286821365,0.26606693863868713
1,33,6,0.43079110980033875,0.36425095796585083,0.09185274690389633,0.22674238681793213,0.01315651461482048,0.1971416473388672
1,34,6,0.43079090118408203,0.36425095796585083,0.09185326099395752,0.22674275934696198,0.013157100416719913,0.19714201986789703
1,35,6,0.3936229646205902,0.38339996337890625,0.16654884815216064,0.2917587161064148,0.04592118039727211,0.26606887578964233
1,36,6,0.39362362027168274,0.3833996057510376,0.1665429025888443,0.29175621271133423,0.045921046286821365,0.2660667896270752
1,37,6,0.39362284541130066,0.3833996653556824,0.16654598712921143,0.2917575240135193,0.045921169221401215,0.2660679519176483
1,38,6,0.3936227560043335,0.3833993971347809,0.16654327511787415,0.2917565107345581,0.04592113569378853,0.26606693863868713
1,39,6,0.43079110980033875,0.36425086855888367,0.0918535515666008,0.2267429083585739,0.013157261535525322,0.1971421092748642
1,40,6,0.39362308382987976,0.38339945673942566,0.16654282808303833,0.29175621271133423,0.045921046286821365,0.2660667598247528
1,41,6,0.3936232626438141,0.38339945673942566,0.16654488444328308,0.29175710678100586,0.045921146869659424,0.26606738567352295
1,42,6,0.00025464777718298137,0.00023751618573442101,0.0011293604038655758,0.006011450197547674,4.258154149283655e-05,0.00447459751740098
1,43,6,0.39362362027168274,0.38340047001838684,0.16654694080352783,0.2917579710483551,0.04592109099030495,0.2660682797431946
1,44,6,0.4307909905910492,0.3642507791519165,0.09185326099395752,0.22674275934696198,0.013157092966139317,0.19714196026325226
1,45,6,0.3936229944229126,0.38339942693710327,0.16654282808303833,0.29175636172294617,0.045921046286821365,0.2660667598247528
1,46,6,0.3936227858066559,0.38339903950691223,0.16654445230960846,0.2917569577693939,0.045921146869659424,0.2660672068595886
1,47,6,0.3936230540275574,0.38339924812316895,0.1665429025888443,0.29175621271133423,0.045921046286821365,0.2660667598247528
1,48,6,0.39362356066703796,0.3833997845649719,0.1665429025888443,0.29175636172294617,0.045921046286821365,0.2660667896270752
1,49,6,0.3936229944229126,0.3833993673324585,0.16654282808303833,0.29175621271133423,0.04592113569378853,0.2660667598247528
