dim_hidden,seed,param_num_v,train_loss_bellman,test_loss_bellman,abs_rel_err_test_value_function_median,abs_rel_err_test_value_function_max,abs_rel_err_test_value_function_10_percentile,abs_rel_err_test_value_function_90_percentile
1,0,6,0.6111347079277039,0.5913376212120056,0.40457332134246826,0.40457332134246826,0.05740121379494667,0.40457332134246826
1,1,6,9.95838789208392e-09,1.0955477636187538e-09,0.00011050163448089734,0.00011050163448089734,2.3283610062208027e-07,0.00011050163448089734
1,2,6,0.6111347079277039,0.5913376212120056,0.40457332134246826,0.40457332134246826,0.05740121379494667,0.40457332134246826
1,3,6,0.6111366748809814,0.5913390517234802,0.40457260608673096,0.40457260608673096,0.05740160122513771,0.40457260608673096
1,4,6,0.6111366748809814,0.5913390517234802,0.40457260608673096,0.40457260608673096,0.05740160122513771,0.40457260608673096
1,5,6,0.6111356616020203,0.5913400053977966,0.4045752286911011,0.4045752286911011,0.05740020424127579,0.4045752286911011
1,6,6,0.6111335754394531,0.5913364291191101,0.4045731723308563,0.4045731723308563,0.05740128830075264,0.4045731723308563
1,7,6,0.611134946346283,0.5913376212120056,0.4045730233192444,0.4045730233192444,0.05740136653184891,0.4045730233192444
1,8,6,0.4307911694049835,0.36425086855888367,0.09185332804918289,0.22674275934696198,0.013157092966139317,0.19714196026325226
1,9,6,0.6111356616020203,0.5913400053977966,0.4045752286911011,0.4045752286911011,0.05740020424127579,0.4045752286911011
1,10,6,0.611134946346283,0.5913376212120056,0.4045730233192444,0.4045730233192444,0.05740136653184891,0.4045730233192444
1,11,6,0.6111345887184143,0.5913375616073608,0.4045734703540802,0.4045734703540802,0.0574011355638504,0.4045734703540802
1,12,6,0.6111351847648621,0.5913376808166504,0.4045727550983429,0.4045727550983429,0.05740152299404144,0.4045727550983429
1,13,6,0.6111347079277039,0.5913376212120056,0.40457332134246826,0.40457332134246826,0.05740121379494667,0.40457332134246826
1,14,6,0.6111356616020203,0.5913400053977966,0.4045752286911011,0.4045752286911011,0.05740020424127579,0.4045752286911011
1,15,6,0.611134946346283,0.5913376212120056,0.4045730233192444,0.4045730233192444,0.05740136653184891,0.4045730233192444
1,16,6,0.6111366748809814,0.5913390517234802,0.40457260608673096,0.40457260608673096,0.05740160122513771,0.40457260608673096
1,17,6,0.6111347079277039,0.5913376212120056,0.40457332134246826,0.40457332134246826,0.05740121379494667,0.40457332134246826
1,18,6,0.6111356616020203,0.5913400053977966,0.4045752286911011,0.4045752286911011,0.05740020424127579,0.4045752286911011
1,19,6,0.6111351847648621,0.5913376808166504,0.4045727550983429,0.4045727550983429,0.05740152299404144,0.4045727550983429
1,20,6,0.6111345887184143,0.5913375616073608,0.4045734703540802,0.4045734703540802,0.0574011355638504,0.4045734703540802
1,21,6,0.6111350655555725,0.5913376808166504,0.40457290410995483,0.40457290410995483,0.057401444762945175,0.40457290410995483
1,22,6,0.6111350655555725,0.5913376808166504,0.40457290410995483,0.40457290410995483,0.057401444762945175,0.40457290410995483
1,23,6,0.6111351847648621,0.5913376808166504,0.4045727550983429,0.4045727550983429,0.05740152299404144,0.4045727550983429
1,24,6,0.6111356616020203,0.5913400053977966,0.4045752286911011,0.4045752286911011,0.05740020424127579,0.4045752286911011
1,25,6,0.6111356616020203,0.5913400053977966,0.4045752286911011,0.4045752286911011,0.05740020424127579,0.4045752286911011
1,26,6,0.4307909905910492,0.3642507791519165,0.09185332804918289,0.226742684841156,0.013157100416719913,0.19714194536209106
1,27,6,0.6111345887184143,0.5913375616073608,0.4045734703540802,0.4045734703540802,0.0574011355638504,0.4045734703540802
1,28,6,0.4307911694049835,0.36425071954727173,0.09185332804918289,0.22674275934696198,0.013157100416719913,0.1971421092748642
1,29,6,0.3936230540275574,0.38339942693710327,0.1665429025888443,0.29175636172294617,0.045921046286821365,0.2660667896270752
1,30,6,0.43079107999801636,0.3642507791519165,0.09185332804918289,0.22674275934696198,0.013157092966139317,0.19714201986789703
1,31,6,0.6111347079277039,0.5913376212120056,0.40457332134246826,0.40457332134246826,0.05740121379494667,0.40457332134246826
1,32,6,9.957210167499397e-09,1.0946996642502427e-09,0.00011050163448089734,0.00011050163448089734,2.0287907886995526e-07,0.00011050163448089734
1,33,6,0.6111345887184143,0.5913375616073608,0.4045734703540802,0.4045734703540802,0.0574011355638504,0.4045734703540802
1,34,6,0.6111366748809814,0.5913390517234802,0.40457260608673096,0.40457260608673096,0.05740160122513771,0.40457260608673096
1,35,6,0.6111366748809814,0.5913390517234802,0.40457260608673096,0.40457260608673096,0.05740160122513771,0.40457260608673096
1,36,6,0.6111356616020203,0.5913400053977966,0.4045752286911011,0.4045752286911011,0.05740020424127579,0.4045752286911011
1,37,6,0.6111347079277039,0.5913376212120056,0.40457332134246826,0.40457332134246826,0.05740121379494667,0.40457332134246826
1,38,6,0.6111356616020203,0.5913400053977966,0.4045752286911011,0.4045752286911011,0.05740020424127579,0.4045752286911011
1,39,6,0.6111344695091248,0.5913375616073608,0.40457361936569214,0.40457361936569214,0.057401057332754135,0.40457361936569214
1,40,6,0.39362308382987976,0.38339951634407043,0.16654282808303833,0.29175636172294617,0.045921046286821365,0.26606664061546326
1,41,6,0.6111345887184143,0.5913375616073608,0.4045734703540802,0.4045734703540802,0.0574011355638504,0.4045734703540802
1,42,6,9.956734992044858e-09,1.0896360480572298e-09,0.00011020833335351199,0.00011020833335351199,5.3780023989702386e-08,0.00011020833335351199
1,43,6,0.6111366748809814,0.5913390517234802,0.40457260608673096,0.40457260608673096,0.05740160122513771,0.40457260608673096
1,44,6,0.6111345887184143,0.5913375616073608,0.4045734703540802,0.4045734703540802,0.0574011355638504,0.4045734703540802
1,45,6,0.6111335754394531,0.5913364291191101,0.4045731723308563,0.4045731723308563,0.05740128830075264,0.4045731723308563
1,46,6,0.6111344695091248,0.5913375616073608,0.40457361936569214,0.40457361936569214,0.057401057332754135,0.40457361936569214
1,47,6,0.6111356616020203,0.5913400053977966,0.4045752286911011,0.4045752286911011,0.05740020424127579,0.4045752286911011
1,48,6,0.6111347079277039,0.5913376212120056,0.40457332134246826,0.40457332134246826,0.05740121379494667,0.40457332134246826
1,49,6,0.6111356616020203,0.5913400053977966,0.4045752286911011,0.4045752286911011,0.05740020424127579,0.4045752286911011
2,0,13,0.6111356616020203,0.5913400053977966,0.4045752286911011,0.4045752286911011,0.05740020424127579,0.4045752286911011
2,1,13,0.3936229944229126,0.38340020179748535,0.1665429025888443,0.2917565107345581,0.0459209680557251,0.26606690883636475
2,2,13,0.4307911694049835,0.3642509877681732,0.09185326099395752,0.22674275934696198,0.013157092966139317,0.197142094373703
2,3,13,0.6111345887184143,0.5913386940956116,0.40457507967948914,0.40457507967948914,0.057400282472372055,0.40457507967948914
2,4,13,0.6111356616020203,0.5913400053977966,0.4045752286911011,0.4045752286911011,0.05740020424127579,0.4045752286911011
2,5,13,0.3936229944229126,0.3833991587162018,0.16654275357723236,0.29175621271133423,0.0459212064743042,0.26606664061546326
2,6,13,0.6111347079277039,0.5913376212120056,0.40457332134246826,0.40457332134246826,0.05740121379494667,0.40457332134246826
2,7,13,0.39362335205078125,0.3833995759487152,0.1665429025888443,0.29175621271133423,0.045921046286821365,0.2660667896270752
2,8,13,0.43079107999801636,0.3642509877681732,0.09185332804918289,0.226742684841156,0.013157159090042114,0.19714201986789703
2,9,13,0.43079128861427307,0.36425068974494934,0.09185318648815155,0.226742684841156,0.013157042674720287,0.19714194536209106
2,10,13,0.3936232328414917,0.38339945673942566,0.16654275357723236,0.29175621271133423,0.045921046286821365,0.26606664061546326
2,11,13,0.3936234414577484,0.38339972496032715,0.1665429025888443,0.29175636172294617,0.04592103511095047,0.2660667896270752
2,12,13,0.39362332224845886,0.38339951634407043,0.16654282808303833,0.29175621271133423,0.0459209568798542,0.2660667598247528
2,13,13,0.6111345887184143,0.5913375616073608,0.4045734703540802,0.4045734703540802,0.0574011355638504,0.4045734703540802
2,14,13,0.611134946346283,0.5913376212120056,0.4045730233192444,0.4045730233192444,0.05740136653184891,0.4045730233192444
2,15,13,0.3936231732368469,0.3833995759487152,0.16654275357723236,0.29175636172294617,0.04592094197869301,0.2660667896270752
2,16,13,0.611134946346283,0.5913376212120056,0.4045730233192444,0.4045730233192444,0.05740136653184891,0.4045730233192444
2,17,13,0.6111350655555725,0.5913376808166504,0.40457290410995483,0.40457290410995483,0.057401444762945175,0.40457290410995483
2,18,13,0.6111347079277039,0.5913376212120056,0.40457332134246826,0.40457332134246826,0.05740121379494667,0.40457332134246826
2,19,13,0.6111351847648621,0.5913376808166504,0.4045727550983429,0.4045727550983429,0.05740152299404144,0.4045727550983429
